VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,FORCANNY,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,UNFAIRNY,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CARPETBG,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,33.0,84.0,14.0,SECOND CALL,30-39,BLACK,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,POSTGRAD,NONE,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,NONE,BOTH,NEITHER,PERSONALQUAL,,,0.727
STATE ONLY,33.0,84.0,15.0,SECOND CALL,50-59,HISP,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,LIKEABLE,FORCAND,CLINTON,NONE,SAME,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,COLGRAD,PROTESTANT,MORETHAN1AWK,OVER100K,YES,NO,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,DEMOCRAT,50-64,YES,WHITE,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.714
STATE ONLY,33.0,84.0,16.0,SECOND CALL,75+,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,NO,BOTHDID,INDEPEND,OVER500K,POSTGRAD,JEWISH,NEVER,OVER100K,YES,NO,MODERATE,65+,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,IND/OTHER,65+,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,0.917
STATE ONLY,33.0,84.0,17.0,SECOND CALL,30-39,HISP,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,HONEST,FORCAND,CLINTON,NONE,BETTER,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,POSTGRAD,ELSE,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,30-39,DEMOCRAT,30-39,YES,ASIAN,OTHER,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.714
STATE ONLY,33.0,84.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,NO,CLINTONDID,REPUBLCN,OVER500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,REPUBLICAN,50-64,,WHITE,CATHOLIC,BOTH,ONLYGORE,PERSONALQUAL,,,1.473
STATE ONLY,33.0,84.0,19.0,SECOND CALL,65-74,WHITE,MALE,GORE,LAZIO,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,AGNOPPS,DOLE,NONE,SAME,APP/UNFAV,NO,BOTHDID,INDEPEND,OVER500K,COLGRAD,PROTESTANT,AFEWAMONTH,30-50K,NO,NO,MODERATE,65+,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.931
STATE ONLY,33.0,84.0,20.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,EXPERIENCE,AGNOPPS,CLINTON,SOMEONEELSE,SAME,APP/FAV,YES,BOTHDID,DEMOCRAT,OVER500K,POSTGRAD,JEWISH,AFEWAMONTH,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,NEITHER,ISSUES,,,0.704
STATE ONLY,33.0,84.0,21.0,SECOND CALL,30-39,OTHER,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,YES,BOTHDID,DEMOCRAT,OVER500K,COLGRAD,ELSE,AFEWAMONTH,75-100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,30-39,DEMOCRAT,30-39,NO,OTHER,OTHER,ONLYGORE,ONLYGORE,ISSUES,,,0.717
STATE ONLY,33.0,84.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,FORCAND,NOVOTE,NONE,SAME,APP/FAV,YES,OMITS,DEMOCRAT,OVER500K,POSTGRAD,NONE,NEVER,OVER100K,NO,NO,LIBERAL,18-64,SOCIALSECURI,SOMEWHATCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,DEMOCRAT,50-64,,WHITE,NONE,ONLYGORE,NEITHER,ISSUES,,,0.704
STATE ONLY,33.0,84.0,23.0,SECOND CALL,50-59,WHITE,MALE,GORE,CLINTON,OMITS,OMITS,OMITS,MORE,CITYOVER50K,OMITS,OMITS,FORCAND,OMITS,NONE,OMITS,,,LAZIODID,,OVER500K,,,OMITS,,,,,18-64,OMITS,NOTATALLCONC,STATE,NOTCOMPLETE,NEWYORKCITY,45-59,50-59,,50-64,NO,WHITE,,OMITS,OMITS,OMITS,,,0.717
STATE ONLY,33.0,84.0,24.0,SECOND CALL,,WHITE,FEMALE,GORE,CLINTON,APPROVE,OMITS,GORE,MORE,CITYOVER50K,SOCIALSECUR,CARES,FORCAND,CLINTON,NONE,BETTER,OMITS,NO,LAZIODID,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,ONCEAWEEK,,NO,,,,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,,,DEMOCRAT,,,WHITE,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,0.704
STATE ONLY,33.0,84.0,25.0,SECOND CALL,75+,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,CARES,FORCAND,CLINTON,ME,BETTER,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,MORETHAN1AWK,30-50K,NO,NO,MODERATE,65+,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,65+,NO,WHITE,,ONLYGORE,ONLYBUSH,ISSUES,,,0.917
STATE ONLY,33.0,84.0,26.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,COMPLEXISSUE,FORCAND,CLINTON,NONE,SAME,APP/FAV,YES,LAZIODID,DEMOCRAT,OVER500K,COLGRAD,ELSE,NEVER,OVER100K,NO,NO,LIBERAL,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,OTHER,ONLYGORE,NEITHER,ISSUES,,,0.672
STATE ONLY,33.0,84.0,27.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LAZIO,DISAPPR,UNFAVORABLE,GORE,LESS,CITYOVER50K,EDUCATION,OMITS,AGNOPPS,CLINTON,NONE,SAME,DIS/UNFAV,NO,NEITHERDID,INDEPEND,OVER500K,POSTGRAD,JEWISH,AFEWAYEAR,,NO,NO,MODERATE,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,30-44,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,BOTH,BOTH,ISSUES,,,0.714
STATE ONLY,33.0,84.0,28.0,SECOND CALL,45-49,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,OMITS,OMITS,AGNOPPS,DOLE,ME,SAME,DIS/UNFAV,YES,BOTHDID,INDEPEND,OVER500K,SOMCOL/ASSOC,JEWISH,NEVER,50-75K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,NEWYORKCITY,45-59,40-49,IND/OTHER,40-49,,WHITE,JEWISH,BOTH,ONLYGORE,ISSUES,,,1.173
STATE ONLY,33.0,84.0,29.0,SECOND CALL,75+,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,GOODJUDGMENT,FORCAND,CLINTON,NONE,WORSE,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,POSTGRAD,JEWISH,NEVER,50-75K,YES,NO,LIBERAL,65+,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,0.917
STATE ONLY,33.0,84.0,30.0,SECOND CALL,75+,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,EXPERIENCE,FORCAND,CLINTON,MEANDSOMEONE,WORSE,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,POSTGRAD,JEWISH,NEVER,50-75K,YES,NO,LIBERAL,65+,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,0.9
STATE ONLY,33.0,84.0,31.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,FORCAND,CLINTON,ME,SAME,APP/FAV,NO,NEITHERDID,DEMOCRAT,OVER500K,POSTGRAD,JEWISH,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,0.9
STATE ONLY,33.0,84.0,32.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,OMITS,CITYOVER50K,TAXES,EXPERIENCE,OMITS,CLINTON,ME,SAME,APP/FAV,,OMITS,DEMOCRAT,OVER500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,,,,,65+,OMITS,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,ONLYGORE,OMITS,ISSUES,,,0.914
STATE ONLY,33.0,84.0,33.0,SECOND CALL,30-39,BLACK,FEMALE,BUCHANAN,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,HONEST,FORCAND,CLINTON,ME,BETTER,APP/FAV,YES,LAZIODID,REPUBLCN,OVER500K,SOMCOL/ASSOC,NONE,AFEWAYEAR,50-75K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,30-39,REPUBLICAN,30-39,NO,BLACK,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,0.491
STATE ONLY,33.0,84.0,34.0,SECOND CALL,65-74,HISP,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,GOODJUDGMENT,FORCAND,CLINTON,MEANDSOMEONE,BETTER,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,HSGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,LIBERAL,65+,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,65+,YES,HISP,CATHOLIC,ONLYGORE,ONLYGORE,ISSUES,,,0.914
STATE ONLY,33.0,84.0,35.0,SECOND CALL,50-59,BLACK,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,GOODJUDGMENT,FORCAND,CLINTON,ME,SAME,APP/FAV,YES,LAZIODID,DEMOCRAT,OVER500K,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,NO,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,CATHOLIC,ONLYGORE,NEITHER,PERSONALQUAL,,,0.727
STATE ONLY,33.0,84.0,36.0,SECOND CALL,40-44,HISP,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,HONEST,FORCAND,CLINTON,ME,BETTER,APP/FAV,YES,LAZIODID,DEMOCRAT,OVER500K,POSTGRAD,CATHOLIC,AFEWAMONTH,50-75K,NO,YES,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.714
STATE ONLY,33.0,84.0,37.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,STRONGLEADER,FORCAND,CLINTON,NONE,SAME,APP/FAV,YES,NEITHERDID,INDEPEND,OVER500K,COLGRAD,PROTESTANT,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.704
STATE ONLY,33.0,84.0,38.0,THIRD CALL,30-39,HISP,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,FORCAND,CLINTON,SOMEONEELSE,BETTER,APP/UNFAV,YES,BOTHDID,DEMOCRAT,OVER500K,COLGRAD,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,OMITS,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,0.714
STATE ONLY,33.0,84.0,39.0,THIRD CALL,,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,OMITS,CITYOVER50K,OMITS,EXPERIENCE,FORCAND,CLINTON,NONE,SAME,APP/FAV,NO,OMITS,DEMOCRAT,OVER500K,,JEWISH,ONCEAWEEK,,YES,NO,,,OMITS,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,,,DEMOCRAT,,,WHITE,JEWISH,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.717
STATE ONLY,33.0,84.0,40.0,THIRD CALL,25-29,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,OMITS,HONEST,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,NO,NEITHERDID,REPUBLCN,OVER500K,POSTGRAD,CATHOLIC,AFEWAMONTH,50-75K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,NEWYORKCITY,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.119
STATE ONLY,33.0,84.0,41.0,THIRD CALL,30-39,HISP,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,FORCAND,CLINTON,NONE,SAME,APP/FAV,YES,LAZIODID,DEMOCRAT,OVER500K,HSGRAD,CATHOLIC,AFEWAYEAR,50-75K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,0.714
STATE ONLY,33.0,84.0,42.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,OMITS,FORCAND,CLINTON,NONE,BETTER,APP/FAV,YES,CLINTONDID,DEMOCRAT,OVER500K,NOHS,,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,OMITS,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,,ONLYGORE,ONLYBUSH,ISSUES,,,0.704
STATE ONLY,33.0,84.0,43.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,EDUCATION,EXPERIENCE,FORCAND,CLINTON,ME,BETTER,APP/FAV,YES,BOTHDID,DEMOCRAT,OVER500K,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.672
STATE ONLY,33.0,84.0,44.0,THIRD CALL,50-59,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,FORCAND,CLINTON,ME,BETTER,APP/FAV,YES,LAZIODID,DEMOCRAT,OVER500K,POSTGRAD,NONE,AFEWAYEAR,30-50K,YES,NO,CONSERV,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,DEMOCRAT,50-64,,WHITE,NONE,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.717
STATE ONLY,33.0,84.0,45.0,THIRD CALL,18-24,OTHER,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,SOCIALSECUR,STRONGLEADER,FORCAND,OTHER,SOMEONEELSE,BETTER,DIS/UNFAV,NO,BOTHDID,INDEPEND,OVER500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,OVER100K,NO,NO,MODERATE,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,NEWYORKCITY,18-29,18-24,IND/OTHER,18-24,NO,OTHER,CATHOLIC,BOTH,BOTH,PERSONALQUAL,,,1.119
STATE ONLY,33.0,84.0,46.0,THIRD CALL,60-64,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,HONEST,FORCAND,CLINTON,NONE,WORSE,APP/FAV,NO,BOTHDID,DEMOCRAT,OVER500K,COLGRAD,JEWISH,MORETHAN1AWK,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,0.917
STATE ONLY,33.0,84.0,47.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CLINTON,OMITS,OMITS,OMITS,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,FORCAND,OMITS,ME,OMITS,,,BOTHDID,,OVER500K,,,OMITS,,,,,18-64,OMITS,NOTATALLCONC,STATE,NOTCOMPLETE,NEWYORKCITY,45-59,50-59,,50-64,NO,WHITE,,OMITS,OMITS,OMITS,,,0.704
STATE ONLY,33.0,84.0,48.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,EXPERIENCE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,NO,LAZIODID,DEMOCRAT,OVER500K,SOMCOL/ASSOC,JEWISH,NEVER,15-30K,NO,NO,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,60+,60+,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,0.9
STATE ONLY,33.0,84.0,49.0,THIRD CALL,50-59,WHITE,MALE,NADER,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,YES,NEITHERDID,INDEPEND,OVER500K,POSTGRAD,CATHOLIC,AFEWAYEAR,50-75K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,NEWYORKCITY,45-59,50-59,IND/OTHER,50-64,NO,WHITE,CATHOLIC,NEITHER,BOTH,PERSONALQUAL,,,0.40800000000000003
STATE ONLY,33.0,84.0,50.0,THIRD CALL,40-44,HISP,FEMALE,BUSH,LAZIO,APPROVE,UNFAVORABLE,BUSH,MORE,CITYOVER50K,ECON/JOBS,HONEST,FORCAND,CLINTON,SOMEONEELSE,BETTER,APP/UNFAV,NO,BOTHDID,DEMOCRAT,OVER500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,NEWYORKCITY,30-44,40-49,DEMOCRAT,40-49,YES,HISP,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,1.17
STATE ONLY,33.0,84.0,51.0,THIRD CALL,40-44,HISP,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,OMITS,OMITS,CLINTON,MEANDSOMEONE,BETTER,APP/FAV,YES,BOTHDID,DEMOCRAT,OVER500K,COLGRAD,ELSE,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,30-44,40-49,DEMOCRAT,40-49,YES,HISP,OTHER,ONLYGORE,ONLYGORE,ISSUES,,,0.727
STATE ONLY,33.0,84.0,52.0,THIRD CALL,18-24,OTHER,MALE,NADER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,FORCAND,NOVOTE,SOMEONEELSE,WORSE,DIS/UNFAV,YES,BOTHDID,ELSE,OVER500K,COLGRAD,ELSE,NEVER,OVER100K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,VERYCONC,STATE,COMPLETE,NEWYORKCITY,18-29,18-24,IND/OTHER,18-24,NO,OTHER,OTHER,ONLYGORE,BOTH,ISSUES,,,0.557
STATE ONLY,33.0,84.0,53.0,THIRD CALL,45-49,WHITE,MALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,OMITS,CITYOVER50K,OMITS,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/UNFAV,YES,BOTHDID,DEMOCRAT,OVER500K,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,NEWYORKCITY,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,ONLYGORE,ISSUES,,,0.717
NATIONAL WHITE,33.0,85.0,1.0,FIRST CALL,50-59,HISP,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,EDUCATION,COMPLEXISSUE,,CLINTON,NONE,BETTER,APP/UNFAV,YES,,INDEPEND,OVER500K,POSTGRAD,ELSE,AFEWAYEAR,OVER100K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,NEWYORKCITY,45-59,50-59,IND/OTHER,50-64,YES,ASIAN,OTHER,,,PERSONALQUAL,,,1.359
NATIONAL WHITE,33.0,85.0,2.0,FIRST CALL,45-49,WHITE,MALE,BUSH,LAZIO,DISAPPR,FAVORABLE,BUSH,LESS,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,,DOLE,NONE,BETTER,DIS/FAV,YES,,REPUBLCN,OVER500K,POSTGRAD,OTHERCHRIST,ONCEAWEEK,OVER100K,NO,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,NEWYORKCITY,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,PERSONALQUAL,,,2.23
NATIONAL WHITE,33.0,85.0,3.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,,CLINTON,NONE,BETTER,APP/UNFAV,YES,,DEMOCRAT,OVER500K,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,NEWYORKCITY,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,PROT/CHRIST,,,ISSUES,,,1.276
NATIONAL YELLOW,33.0,85.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,,CLINTON,NONE,BETTER,APP/FAV,YES,,DEMOCRAT,OVER500K,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,NEWYORKCITY,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,,,ISSUES,ECON/JOBS,COMPLEXISSUE,1.339
NATIONAL YELLOW,33.0,85.0,5.0,FIRST CALL,30-39,HISP,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,WORLDAFFAIRS,HONEST,,DOLE,NONE,BETTER,DIS/UNFAV,YES,,REPUBLCN,OVER500K,POSTGRAD,CATHOLIC,AFEWAMONTH,50-75K,NO,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,NEWYORKCITY,30-44,30-39,REPUBLICAN,30-39,YES,HISP,CATHOLIC,,,ISSUES,WORLDAFFAIRS,HONEST,2.223
NATIONAL YELLOW,33.0,85.0,6.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,HONEST,,NOVOTE,NONE,SAME,DIS/UNFAV,YES,,INDEPEND,OVER500K,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,NEWYORKCITY,18-29,18-24,IND/OTHER,18-24,NO,WHITE,PROT/CHRIST,,,PERSONALQUAL,EDUCATION,HONEST,2.088
