VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPMA4,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,22.0,77.0,8.0,FIRST CALL,30-39,BLACK,,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,LESS,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,ELSE,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.199
STATE ONLY,22.0,77.0,9.0,FIRST CALL,30-39,WHITE,MALE,BUSH,ROBINSON,APPROVE,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.155
STATE ONLY,22.0,77.0,10.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,LESS,EDUCATION,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,OMITS,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.0010000000000001
STATE ONLY,22.0,77.0,12.0,FIRST CALL,30-39,WHITE,MALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.986
STATE ONLY,22.0,77.0,13.0,FIRST CALL,65-74,WHITE,MALE,BUSH,HOWELL,APPROVE,UNFAVORABLE,BUSH,NO,LESS,OMITS,DOLE,SAME,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,15-30K,CONSERV,65+,NO,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.0230000000000001
STATE ONLY,22.0,77.0,14.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,HOWELL,APPROVE,UNFAVORABLE,BUSH,YES,OMITS,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,CONSERV,18-64,YES,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.851
STATE ONLY,22.0,77.0,15.0,SECOND CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,OMITS,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,16.0,SECOND CALL,65-74,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,CATHOLIC,30-50K,LIBERAL,65+,YES,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.205
STATE ONLY,22.0,77.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,LESS,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,LIBERAL,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,SAME,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,19.0,SECOND CALL,18-24,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,LESS,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,NONE,15-30K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,NONE,,,1.0150000000000001
STATE ONLY,22.0,77.0,20.0,SECOND CALL,60-64,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.205
STATE ONLY,22.0,77.0,21.0,SECOND CALL,60-64,WHITE,MALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MEDICARE/RX,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,30-50K,CONSERV,18-64,YES,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,1.198
STATE ONLY,22.0,77.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,NADER,KENNEDY,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,YES,MORE,TAXES,OMITS,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,,MODERATE,18-64,NO,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.9400000000000001
STATE ONLY,22.0,77.0,23.0,SECOND CALL,45-49,WHITE,MALE,NADER,HOWELL,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,LESS,TAXES,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,NO,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.8190000000000001
STATE ONLY,22.0,77.0,24.0,SECOND CALL,30-39,WHITE,,BUSH,ROBINSON,OMITS,OMITS,OMITS,YES,LESS,TAXES,OMITS,OMITS,,,,,,,18-64,,STATE,NOTCOMPLETE,EAST,30-44,30-39,,30-39,,,,1.1500000000000001
STATE ONLY,22.0,77.0,25.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,LESS,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0010000000000001
STATE ONLY,22.0,77.0,26.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,HOWELL,APPROVE,UNFAVORABLE,GORE,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.868
STATE ONLY,22.0,77.0,28.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HOWELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.855
STATE ONLY,22.0,77.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,30.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,HOWELL,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,MORE,WORLDAFFAIRS,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,NONE,,LIBERAL,18-64,NO,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,NONE,,,0.8270000000000001
STATE ONLY,22.0,77.0,31.0,THIRD CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,75-100K,CONSERV,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,KENNEDY,APPROVE,UNFAVORABLE,BUSH,NO,LESS,ECON/JOBS,DOLE,SAME,APP/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.985
STATE ONLY,22.0,77.0,33.0,THIRD CALL,40-44,WHITE,MALE,BUSH,KENNEDY,APPROVE,FAVORABLE,BUSH,YES,LESS,TAXES,NOVOTE,SAME,APP/FAV,ELSE,COLGRAD,CATHOLIC,,CONSERV,18-64,YES,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.986
STATE ONLY,22.0,77.0,34.0,THIRD CALL,65-74,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,INDEPEND,NOHS,CATHOLIC,30-50K,LIBERAL,65+,NO,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.197
STATE ONLY,22.0,77.0,35.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,OVER100K,CONSERV,18-64,NO,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,1.014
STATE ONLY,22.0,77.0,36.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,SOCIALSECUR,CLINTON,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,,CONSERV,18-64,YES,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.985
STATE ONLY,22.0,77.0,37.0,THIRD CALL,25-29,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,LIBERAL,18-64,NO,STATE,COMPLETE,EAST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,1.0150000000000001
STATE ONLY,22.0,77.0,38.0,THIRD CALL,25-29,HISP,FEMALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.3760000000000001
STATE ONLY,22.0,77.0,39.0,THIRD CALL,25-29,WHITE,MALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,NO,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.0170000000000001
STATE ONLY,22.0,77.0,40.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HOWELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,PEROT,SAME,DIS/UNFAV,INDEPEND,COLGRAD,NONE,30-50K,CONSERV,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,NONE,,,0.855
STATE ONLY,22.0,77.0,41.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,NONE,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,NONE,,,1.155
STATE ONLY,22.0,77.0,42.0,THIRD CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,CLINTON,SAME,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.0050000000000001
STATE ONLY,22.0,77.0,43.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,LESS,MEDICARE/RX,CLINTON,SAME,APP/FAV,INDEPEND,NOHS,PROTESTANT,LESS15K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.191
STATE ONLY,22.0,77.0,44.0,THIRD CALL,40-44,WHITE,MALE,NADER,HOWELL,APPROVE,FAVORABLE,GORE,YES,LESS,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.8190000000000001
STATE ONLY,22.0,77.0,45.0,THIRD CALL,50-59,ASIAN,MALE,GORE,KENNEDY,DISAPPR,FAVORABLE,GORE,YES,MORE,OMITS,CLINTON,SAME,DIS/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.0050000000000001
STATE ONLY,22.0,77.0,46.0,THIRD CALL,50-59,WHITE,MALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,NO,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.0090000000000001
STATE ONLY,22.0,77.0,47.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,75-100K,CONSERV,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.985
STATE ONLY,22.0,77.0,48.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,HOWELL,APPROVE,FAVORABLE,GORE,NO,OMITS,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,75-100K,LIBERAL,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.873
STATE ONLY,22.0,77.0,49.0,THIRD CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,CATHOLIC,OVER100K,CONSERV,18-64,NO,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.0090000000000001
STATE ONLY,22.0,77.0,50.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,YES,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0010000000000001
STATE ONLY,22.0,80.0,1.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.937
STATE ONLY,22.0,80.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,CLINTON,WORSE,APP/UNFAV,INDEPEND,POSTGRAD,JEWISH,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,BOSTON,45-59,50-59,IND/OTHER,50-64,JEWISH,,,0.977
STATE ONLY,22.0,80.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,JEWISH,OVER100K,CONSERV,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,IND/OTHER,30-39,JEWISH,,,0.934
STATE ONLY,22.0,80.0,4.0,FIRST CALL,30-39,WHITE,MALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.232
STATE ONLY,22.0,80.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,MORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,30-44,40-49,DEMOCRAT,40-49,JEWISH,,,0.981
STATE ONLY,22.0,80.0,6.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,SAME,APP/FAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,65+,NO,STATE,COMPLETE,BOSTON,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.568
STATE ONLY,22.0,80.0,7.0,FIRST CALL,25-29,ASIAN,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,DOLE,SAME,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.933
STATE ONLY,22.0,80.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,DISAPPR,UNFAVORABLE,GORE,YES,OMITS,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,BOSTON,30-44,40-49,DEMOCRAT,40-49,JEWISH,,,0.977
STATE ONLY,22.0,80.0,9.0,FIRST CALL,25-29,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,JEWISH,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,1.055
STATE ONLY,22.0,80.0,10.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,JEWISH,30-50K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,0.937
STATE ONLY,22.0,80.0,11.0,FIRST CALL,30-39,BLACK,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.028
STATE ONLY,22.0,80.0,12.0,FIRST CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.105
STATE ONLY,22.0,80.0,13.0,FIRST CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.105
STATE ONLY,22.0,80.0,14.0,FIRST CALL,25-29,HISP,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.874
STATE ONLY,22.0,80.0,15.0,SECOND CALL,50-59,HISP,FEMALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MEDICARE/RX,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,YES,STATE,COMPLETE,BOSTON,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.871
STATE ONLY,22.0,80.0,16.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.937
STATE ONLY,22.0,80.0,17.0,SECOND CALL,30-39,WHITE,MALE,GORE,HOWELL,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.9570000000000001
STATE ONLY,22.0,80.0,18.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,KENNEDY,APPROVE,OMITS,GORE,NO,MORE,ECON/JOBS,CLINTON,SAME,OMITS,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.937
STATE ONLY,22.0,80.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,LESS,WORLDAFFAIRS,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,75-100K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,0.981
STATE ONLY,22.0,80.0,20.0,THIRD CALL,30-39,ASIAN,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,ELSE,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.098
STATE ONLY,22.0,80.0,21.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,OVER100K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.981
STATE ONLY,22.0,80.0,22.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,OMITS,GORE,NO,MORE,ECON/JOBS,CLINTON,SAME,OMITS,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.981
STATE ONLY,22.0,80.0,23.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,CLINTON,WORSE,APP/UNFAV,INDEPEND,POSTGRAD,JEWISH,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,BOSTON,45-59,50-59,IND/OTHER,50-64,JEWISH,,,0.977
STATE ONLY,22.0,80.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.977
STATE ONLY,22.0,80.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,HOWELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,NONE,OVER100K,MODERATE,18-64,YES,STATE,COMPLETE,BOSTON,30-44,30-39,REPUBLICAN,30-39,NONE,,,0.811
STATE ONLY,22.0,80.0,26.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,JEWISH,OVER100K,CONSERV,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,IND/OTHER,30-39,JEWISH,,,0.934
