VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,DROPOUT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,7.0,42.0,11.0,FIRST CALL,40-44,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,DOLE,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.732
STATE ONLY,7.0,42.0,12.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.8160000000000001
STATE ONLY,7.0,42.0,13.0,SECOND CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,EDUCATION,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,7.0,42.0,14.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,OMITS,LESS,WORLDAFFAIRS,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.212
STATE ONLY,7.0,42.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.8200000000000001
STATE ONLY,7.0,42.0,16.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.8160000000000001
STATE ONLY,7.0,42.0,17.0,SECOND CALL,65-74,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.083
STATE ONLY,7.0,42.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,MORE,OMITS,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.734
STATE ONLY,7.0,42.0,19.0,SECOND CALL,75+,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,NOHS,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.083
STATE ONLY,7.0,42.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.8200000000000001
STATE ONLY,7.0,42.0,21.0,SECOND CALL,25-29,,MALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,LESS,OMITS,OMITS,CLINTON,WORSE,APP/FAV,ELSE,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,1.414
STATE ONLY,7.0,42.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,MORE,OMITS,YES,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.8200000000000001
STATE ONLY,7.0,42.0,23.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.734
STATE ONLY,7.0,42.0,24.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.8150000000000001
STATE ONLY,7.0,42.0,25.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,GIORDANO,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.7000000000000001
STATE ONLY,7.0,42.0,26.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.8200000000000001
STATE ONLY,7.0,42.0,27.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.8200000000000001
STATE ONLY,7.0,42.0,28.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,75-100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,DEMOCRAT,40-49,JEWISH,,,0.8200000000000001
STATE ONLY,7.0,42.0,29.0,THIRD CALL,30-39,HISP,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.668
STATE ONLY,7.0,42.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,,APPROVE,FAVORABLE,BUSH,LESS,TAXES,YES,CLINTON,BETTER,APP/FAV,REPUBLCN,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.8250000000000001
STATE ONLY,7.0,42.0,31.0,THIRD CALL,40-44,WHITE,MALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.858
STATE ONLY,7.0,42.0,32.0,THIRD CALL,30-39,BLACK,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.666
STATE ONLY,7.0,42.0,33.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,JEWISH,,LIBERAL,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,65+,JEWISH,,,1.212
STATE ONLY,7.0,42.0,34.0,THIRD CALL,60-64,WHITE,MALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,PEROT,WORSE,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.083
STATE ONLY,7.0,42.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,OMITS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.8200000000000001
STATE ONLY,7.0,42.0,36.0,THIRD CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.811
STATE ONLY,7.0,42.0,37.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,MORE,MEDICARE/RX,YES,DOLE,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.786
STATE ONLY,7.0,42.0,38.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.8200000000000001
STATE ONLY,7.0,42.0,39.0,THIRD CALL,75+,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,OVER100K,MODERATE,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.087
STATE ONLY,7.0,42.0,40.0,THIRD CALL,40-44,WHITE,MALE,GORE,GIORDANO,APPROVE,FAVORABLE,GORE,MORE,OMITS,YES,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.6980000000000001
STATE ONLY,7.0,42.0,41.0,THIRD CALL,40-44,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,OMITS,OMITS,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.732
STATE ONLY,7.0,42.0,42.0,THIRD CALL,25-29,BLACK,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,WORLDAFFAIRS,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.66
STATE ONLY,7.0,42.0,43.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.732
STATE ONLY,7.0,43.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.063
STATE ONLY,7.0,43.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.063
STATE ONLY,7.0,43.0,3.0,FIRST CALL,30-39,ASIAN,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,ELSE,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.063
STATE ONLY,7.0,43.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,75-100K,LIBERAL,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.573
STATE ONLY,7.0,43.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.063
STATE ONLY,7.0,43.0,6.0,FIRST CALL,45-49,WHITE,MALE,NADER,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,ECON/JOBS,YES,PEROT,WORSE,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.489
STATE ONLY,7.0,43.0,7.0,FIRST CALL,25-29,WHITE,MALE,BUSH,GIORDANO,APPROVE,FAVORABLE,BUSH,MORE,HEALTHCARE,YES,PEROT,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.9420000000000001
STATE ONLY,7.0,43.0,8.0,FIRST CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,DISAPPR,FAVORABLE,GORE,MORE,OMITS,NO,CLINTON,SAME,DIS/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.057
STATE ONLY,7.0,43.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,NO,CLINTON,WORSE,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.063
STATE ONLY,7.0,43.0,10.0,FIRST CALL,50-59,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,YES,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOHS,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.014
STATE ONLY,7.0,43.0,11.0,FIRST CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,NONE,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,IND/OTHER,25-29,NONE,,,1.051
STATE ONLY,7.0,43.0,12.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,OMITS,ECON/JOBS,NO,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,,,,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,IND/OTHER,40-49,,,,1.063
STATE ONLY,7.0,43.0,13.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,LESS15K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,1.054
STATE ONLY,7.0,43.0,14.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.063
STATE ONLY,7.0,43.0,15.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.057
STATE ONLY,7.0,43.0,16.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,OMITS,BUSH,LESS,TAXES,YES,CLINTON,BETTER,OMITS,DEMOCRAT,NOHS,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.41
STATE ONLY,7.0,43.0,17.0,SECOND CALL,65-74,HISP,FEMALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,MORE,OMITS,YES,CLINTON,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,REPUBLICAN,65+,CATHOLIC,,,2.343
STATE ONLY,7.0,43.0,18.0,SECOND CALL,25-29,WHITE,MALE,BUCHANAN,GIORDANO,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,IND/OTHER,25-29,NONE,,,0.332
STATE ONLY,7.0,43.0,19.0,SECOND CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.057
STATE ONLY,7.0,43.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.063
STATE ONLY,7.0,43.0,21.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,1.057
STATE ONLY,7.0,43.0,22.0,SECOND CALL,65-74,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,,CONSERV,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.403
STATE ONLY,7.0,43.0,23.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,TAXES,YES,PEROT,SAME,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.9530000000000001
STATE ONLY,7.0,43.0,24.0,THIRD CALL,45-49,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,EDUCATION,YES,CLINTON,SAME,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.057
STATE ONLY,7.0,43.0,25.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.109
STATE ONLY,7.0,43.0,26.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,GIORDANO,DISAPPR,UNFAVORABLE,GORE,MORE,ECON/JOBS,YES,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.907
STATE ONLY,7.0,43.0,27.0,THIRD CALL,45-49,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.057
STATE ONLY,7.0,43.0,28.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.063
STATE ONLY,7.0,43.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.063
STATE ONLY,7.0,43.0,30.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.109
STATE ONLY,7.0,43.0,31.0,THIRD CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,OMITS,SOCIALSECUR,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.057
STATE ONLY,7.0,43.0,32.0,THIRD CALL,30-39,BLACK,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,75-100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.862
STATE ONLY,7.0,43.0,33.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,OMITS,ECON/JOBS,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,1.0110000000000001
STATE ONLY,7.0,43.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,GIORDANO,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.904
STATE ONLY,7.0,43.0,35.0,THIRD CALL,45-49,HISP,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NO,NOVOTE,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.866
