VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,RIDGEVP,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,39.0,76.0,27.0,THIRD CALL,798.0,30-39,WHITE,MALE,GORE,SANTORUM,,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,TAXES,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/UNFAV,YES,INDEPEND,RURAL,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,ISSUES,,,0.798
NATIONAL YELLOW,39.0,76.0,28.0,THIRD CALL,835.0,45-49,WHITE,FEMALE,GORE,SANTORUM,,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,EXPERIENCE,CLINTON,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,75-100K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,ISSUES,HEALTHCARE,EXPERIENCE,0.835
NATIONAL YELLOW,39.0,76.0,29.0,THIRD CALL,903.0,50-59,WHITE,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,CARES,CLINTON,NONE,,SAME,APP/FAV,NO,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,15-30K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,ISSUES,SOCIALSECUR,CARES,0.903
NATIONAL YELLOW,39.0,76.0,30.0,THIRD CALL,753.0,45-49,WHITE,FEMALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,PEROT,SOMEONEELSE,,BETTER,DIS/UNFAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,ISSUES,TAXES,HONEST,0.753
NATIONAL YELLOW,39.0,76.0,31.0,THIRD CALL,718.0,45-49,,MALE,BUSH,SANTORUM,,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,DOLE,NONE,,BETTER,APP/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,75-100K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,ISSUES,ECON/JOBS,EXPERIENCE,0.718
NATIONAL YELLOW,39.0,76.0,32.0,THIRD CALL,718.0,50-59,WHITE,MALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,DOLE,NONE,,BETTER,DIS/UNFAV,YES,REPUBLCN,RURAL,POSTGRAD,CATHOLIC,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,PERSONALQUAL,WORLDAFFAIRS,GOODJUDGMENT,0.718
NATIONAL YELLOW,39.0,76.0,33.0,THIRD CALL,903.0,40-44,WHITE,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,CLINTON,ME,,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,ECON/JOBS,EXPERIENCE,0.903
NATIONAL YELLOW,39.0,76.0,34.0,THIRD CALL,771.0,40-44,ASIAN,FEMALE,,SANTORUM,,APPROVE,FAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,ECON/JOBS,OMITS,NOVOTE,NONE,,BETTER,APP/FAV,YES,INDEPEND,RURAL,COLGRAD,ELSE,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,30-44,40-49,IND/OTHER,40-49,OTHER,,,OMITS,ECON/JOBS,OMITS,0.771
NATIONAL GREY,39.0,76.0,35.0,THIRD CALL,758.0,25-29,WHITE,MALE,BUSH,KLINK,BEFORE,,,,,SMCITY/RURAL,,,,,GOREDID,,,,REPUBLCN,RURAL,SOMCOL/ASSOC,,,75-100K,,,MODERATE,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,CENTRALNORTH,18-29,25-29,REPUBLICAN,25-29,,NEITHER,ONLYGORE,,,,0.758
NATIONAL GREY,39.0,76.0,36.0,THIRD CALL,903.0,45-49,WHITE,FEMALE,GORE,KLINK,LAST.MONTH,,,,,SMCITY/RURAL,,,,,BOTHDID,,,,DEMOCRAT,RURAL,POSTGRAD,,,50-75K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,40-49,DEMOCRAT,40-49,,BOTH,BOTH,,,,0.903
NATIONAL GREY,39.0,76.0,37.0,THIRD CALL,753.0,40-44,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,,,,,SMCITY/RURAL,,,,,GOREDID,,,,REPUBLCN,RURAL,SOMCOL/ASSOC,,,30-50K,,,CONSERV,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,CENTRALNORTH,30-44,40-49,REPUBLICAN,40-49,,BOTH,ONLYGORE,,,,0.753
NATIONAL GREY,39.0,76.0,38.0,THIRD CALL,702.0,18-24,WHITE,MALE,BUSH,SANTORUM,BEFORE,,,,,SMCITY/RURAL,,,,,GOREDID,,,,REPUBLCN,RURAL,POSTGRAD,,,30-50K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,CENTRALNORTH,18-29,18-24,REPUBLICAN,18-24,,ONLYBUSH,ONLYGORE,,,,0.7020000000000001
NATIONAL GREY,39.0,76.0,39.0,THIRD CALL,753.0,50-59,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,,,,,SMCITY/RURAL,,,,,NEITHERDID,,,,REPUBLCN,RURAL,COLGRAD,,,75-100K,,,CONSERV,18-64,OMITS,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,,ONLYBUSH,ONLYGORE,,,,0.753
NATIONAL GREY,39.0,76.0,40.0,THIRD CALL,864.0,40-44,WHITE,MALE,GORE,KLINK,BEFORE,,,,,SMCITY/RURAL,,,,,OMITS,,,,,RURAL,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,CENTRALNORTH,30-44,40-49,,40-49,,OMITS,OMITS,,,,0.864
NATIONAL GREY,39.0,76.0,41.0,THIRD CALL,702.0,18-24,WHITE,MALE,BUSH,SANTORUM,BEFORE,,,,,SMCITY/RURAL,,,,,GOREDID,,,,REPUBLCN,RURAL,COLGRAD,,,,,,CONSERV,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,CENTRALNORTH,18-29,18-24,REPUBLICAN,18-24,,ONLYBUSH,ONLYGORE,,,,0.7020000000000001
NATIONAL PINK,39.0,76.0,42.0,THIRD CALL,835.0,50-59,WHITE,FEMALE,GORE,SANTORUM,,,,,,SMCITY/RURAL,,,,NONE,,,,NO,REPUBLCN,RURAL,,ELSE,,30-50K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,OTHER,,,,,,0.835
NATIONAL PINK,39.0,76.0,43.0,THIRD CALL,784.0,45-49,WHITE,FEMALE,BUSH,,,,,,,SMCITY/RURAL,,,,NONE,,,,NO,INDEPEND,RURAL,,OTHERCHRIST,,15-30K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,,,,0.784
NATIONAL PINK,39.0,76.0,44.0,THIRD CALL,718.0,45-49,WHITE,MALE,BUSH,SANTORUM,,,,,,SMCITY/RURAL,,,,NONE,,,,YES,REPUBLCN,RURAL,,OTHERCHRIST,,30-50K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,,,,0.718
NATIONAL PINK,39.0,76.0,45.0,THIRD CALL,718.0,30-39,WHITE,MALE,BUSH,SANTORUM,,,,,,SMCITY/RURAL,,,,ME,,,,YES,REPUBLCN,RURAL,,PROTESTANT,,30-50K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,,,,0.718
NATIONAL PINK,39.0,76.0,46.0,THIRD CALL,718.0,50-59,WHITE,MALE,BUSH,SANTORUM,,,,,,SMCITY/RURAL,,,,NONE,,,,YES,REPUBLCN,RURAL,,PROTESTANT,,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,,,,0.718
NATIONAL PINK,39.0,76.0,47.0,THIRD CALL,718.0,30-39,WHITE,MALE,BUSH,SANTORUM,,,,,,SMCITY/RURAL,,,,NONE,,,,YES,REPUBLCN,RURAL,,PROTESTANT,,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CENTRALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,,,,0.718
NATIONAL PINK,39.0,76.0,48.0,THIRD CALL,920.0,65-74,WHITE,FEMALE,BUSH,SANTORUM,,,,,,SMCITY/RURAL,,,,NONE,,,,NO,REPUBLCN,RURAL,,PROTESTANT,,,YES,NO,CONSERV,65+,,,NATIONAL,COMPLETE,CENTRALNORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,,,,0.92
STATE ONLY,39.0,78.0,1.0,FIRST CALL,867.0,25-29,WHITE,MALE,BUSH,SANTORUM,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,CLINTON,NONE,GOREDID,SAME,DIS/UNFAV,YES,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.867
STATE ONLY,39.0,78.0,2.0,FIRST CALL,873.0,18-24,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,CARES,NOVOTE,NONE,BUSHDID,BETTER,APP/FAV,NO,INDEPEND,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,NO,YES,MODERATE,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,18-29,18-24,IND/OTHER,18-24,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,0.873
STATE ONLY,39.0,78.0,3.0,FIRST CALL,877.0,18-24,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,NO,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,CONSERV,18-64,OMITS,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,18-29,18-24,IND/OTHER,18-24,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.877
STATE ONLY,39.0,78.0,4.0,FIRST CALL,873.0,25-29,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,OMITS,CLINTON,NONE,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,30-50K,YES,NO,,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,ONLYGORE,NEITHER,OMITS,,,0.873
STATE ONLY,39.0,78.0,5.0,FIRST CALL,1086.0,50-59,WHITE,MALE,BUSH,,LAST.MONTH,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,HONEST,OMITS,ME,NEITHERDID,SAME,APP/FAV,YES,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,BOTH,BOTH,ISSUES,,,1.086
STATE ONLY,39.0,78.0,6.0,FIRST CALL,1049.0,50-59,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,COMPLEXISSUE,CLINTON,ME,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYGORE,PERSONALQUAL,,,1.049
STATE ONLY,39.0,78.0,7.0,SECOND CALL,867.0,25-29,OTHER,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,DOLE,SOMEONEELSE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,NEVER,15-30K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,BOTH,ONLYGORE,ISSUES,,,0.867
STATE ONLY,39.0,78.0,8.0,SECOND CALL,1602.0,65-74,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,CONSERV,65+,OMITS,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,60+,60+,REPUBLICAN,65+,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.602
STATE ONLY,39.0,78.0,9.0,SECOND CALL,1612.0,65-74,WHITE,,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,SUBURBS,MEDICARE/RX,OMITS,OMITS,ME,OMITS,OMITS,,,,SUBURBS,,,OMITS,,,,,65+,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,NORTHEAST,60+,60+,,65+,,OMITS,OMITS,OMITS,,,1.612
STATE ONLY,39.0,78.0,10.0,SECOND CALL,1043.0,40-44,WHITE,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,BOTHDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,BOTH,ONLYGORE,PERSONALQUAL,,,1.043
STATE ONLY,39.0,78.0,11.0,SECOND CALL,1081.0,50-59,WHITE,MALE,,KLINK,LAST.MONTH,DISAPPR,UNFAVORABLE,OMITS,LESS,SUBURBS,SOCIALSECUR,OMITS,PEROT,NONE,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,BOTH,ONLYGORE,PERSONALQUAL,,,1.081
STATE ONLY,39.0,78.0,12.0,SECOND CALL,1049.0,45-49,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,EDUCATION,CARES,DOLE,ME,BOTHDID,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,1.049
STATE ONLY,39.0,78.0,13.0,SECOND CALL,1612.0,65-74,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,EXPERIENCE,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,MODERATE,65+,SOCIALSECURI,OMITS,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,1.612
STATE ONLY,39.0,78.0,14.0,SECOND CALL,1049.0,40-44,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,1.049
STATE ONLY,39.0,78.0,15.0,SECOND CALL,1043.0,30-39,WHITE,MALE,BUSH,SANTORUM,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,ME,NEITHERDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,1.043
STATE ONLY,39.0,78.0,16.0,SECOND CALL,873.0,18-24,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.873
STATE ONLY,39.0,78.0,17.0,SECOND CALL,1010.0,,,MALE,GORE,,OMITS,OMITS,OMITS,OMITS,OMITS,SUBURBS,OMITS,OMITS,OMITS,,GOREDID,OMITS,,,,SUBURBS,,,OMITS,,,,,,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,NORTHEAST,,,,,,OMITS,OMITS,OMITS,,,1.01
STATE ONLY,39.0,78.0,18.0,SECOND CALL,1595.0,65-74,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,CLINTON,ME,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,LESS15K,YES,NO,MODERATE,65+,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,1.595
STATE ONLY,39.0,78.0,19.0,SECOND CALL,1612.0,65-74,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,MEDICARE/RX,CARES,CLINTON,SOMEONEELSE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,15-30K,YES,NO,LIBERAL,65+,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,1.612
STATE ONLY,39.0,78.0,20.0,SECOND CALL,1056.0,50-59,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,DOLE,NONE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,15-30K,NO,NO,CONSERV,18-64,SOCIALSECURI,BUSH/RIDGE,STATE,COMPLETE,NORTHEAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,1.056
STATE ONLY,39.0,78.0,21.0,SECOND CALL,982.0,50-59,WHITE,FEMALE,GORE,SANTORUM,BEFORE,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,ECON/JOBS,GOODJUDGMENT,CLINTON,SOMEONEELSE,BOTHDID,WORSE,APP/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,OMITS,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,0.982
STATE ONLY,39.0,78.0,22.0,SECOND CALL,1063.0,50-59,WHITE,FEMALE,GORE,KLINK,LAST.MONTH,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BOTHDID,WORSE,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,15-30K,YES,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,1.063
STATE ONLY,39.0,78.0,23.0,THIRD CALL,982.0,30-39,WHITE,FEMALE,GORE,SANTORUM,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,YES,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,0.982
STATE ONLY,39.0,78.0,24.0,THIRD CALL,839.0,25-29,,MALE,GORE,,OMITS,OMITS,OMITS,OMITS,OMITS,SUBURBS,OMITS,OMITS,OMITS,,OMITS,OMITS,OMITS,,,SUBURBS,,,OMITS,LESS15K,,,,18-64,OMITS,OMITS,STATE,COMPLETE,NORTHEAST,18-29,25-29,,25-29,,OMITS,OMITS,OMITS,,,0.839
STATE ONLY,39.0,78.0,25.0,THIRD CALL,1612.0,75+,WHITE,FEMALE,GORE,KLINK,LASTWEEK,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,CARES,CLINTON,NONE,BOTHDID,SAME,APP/FAV,NO,,SUBURBS,NOHS,CATHOLIC,OMITS,30-50K,NO,NO,LIBERAL,65+,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,60+,60+,,65+,CATHOLIC,NEITHER,BOTH,ISSUES,,,1.612
STATE ONLY,39.0,78.0,26.0,THIRD CALL,1063.0,30-39,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BOTHDID,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,BOTH,BOTH,ISSUES,,,1.063
STATE ONLY,39.0,78.0,27.0,THIRD CALL,1152.0,40-44,WHITE,FEMALE,NADER,KLINK,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,OMITS,CLINTON,ME,OMITS,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,15-30K,NO,YES,CONSERV,18-64,OMITS,OTHERCANDS,STATE,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,NEITHER,OMITS,ISSUES,,,1.1520000000000001
STATE ONLY,39.0,78.0,28.0,THIRD CALL,971.0,50-59,WHITE,,GORE,SANTORUM,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,BUSHDID,SAME,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,LESS15K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.971
STATE ONLY,39.0,78.0,29.0,THIRD CALL,982.0,50-59,WHITE,,GORE,SANTORUM,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,CLINTON,,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,AFEWAYEAR,15-30K,YES,YES,LIBERAL,18-64,OMITS,GORE/LIEBERM,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYBUSH,OMITS,,,0.982
