VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,RYAN,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,DEATHPEN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,14.0,55.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,GOODJUDGMENT,DOLE,NONE,ALWYSILL,SAME,DIS/UNFAV,NO,DISAPPR,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,WRONGTRACK,ONLYBUSH,NEITHER,ISSUES,,,0.581
STATE ONLY,14.0,55.0,28.0,THIRD CALL,25-29,HISP,MALE,GORE,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,MEDICARE/RX,HONEST,CLINTON,SOMEONEELSE,MOSTLGL,BETTER,APP/FAV,YES,DISAPPR,DEMOCRAT,SUBURBS,NOHS,PROTESTANT,MORETHAN1AWK,LESS15K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,OPPOSE,STATE,COMPLETE,COOKSUBURBS,18-29,25-29,DEMOCRAT,25-29,YES,WHITE,PROT/CHRIST,WRONGTRACK,ONLYGORE,ONLYGORE,ISSUES,,,0.728
STATE ONLY,14.0,55.0,29.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,SOMEONEELSE,ALWYSLGL,SAME,APP/UNFAV,YES,DISAPPR,DEMOCRAT,SUBURBS,NOHS,ELSE,NEVER,50-75K,YES,NO,LIBERAL,18-64,SOCIALSECURI,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,OTHER,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.581
STATE ONLY,14.0,55.0,30.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,HONEST,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,DISAPPR,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,OTHRPROGRAMS,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,IND/OTHER,40-49,,WHITE,CATHOLIC,WRONGTRACK,BOTH,NEITHER,PERSONALQUAL,,,0.794
STATE ONLY,14.0,55.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,APPROVE,REPUBLCN,SUBURBS,NOHS,JEWISH,MORETHAN1AWK,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,JEWISH,RIGHTDIR,BOTH,BOTH,PERSONALQUAL,,,0.581
STATE ONLY,14.0,55.0,32.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,STRONGLEADER,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,YES,DISAPPR,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,LIBERAL,18-64,SOCIALSECURI,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,RIGHTDIR,ONLYGORE,NEITHER,ISSUES,,,0.549
STATE ONLY,14.0,55.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,DOLE,NONE,MOSTILL,BETTER,APP/FAV,YES,APPROVE,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,,YES,NO,CONSERV,18-64,SOCIALSECURI,FAVOR,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,IND/OTHER,50-64,NO,WHITE,CATHOLIC,RIGHTDIR,BOTH,NEITHER,ISSUES,,,0.581
STATE ONLY,14.0,55.0,34.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,DISAPPR,INDEPEND,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,COOKSUBURBS,45-59,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,RIGHTDIR,NEITHER,BOTH,PERSONALQUAL,,,0.794
STATE ONLY,14.0,55.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,OMITS,CLINTON,SOMEONEELSE,MOSTILL,BETTER,APP/UNFAV,YES,APPROVE,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,RIGHTDIR,OMITS,NEITHER,ISSUES,,,0.84
STATE ONLY,14.0,55.0,36.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,EDUCATION,GOODJUDGMENT,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,APPROVE,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,75-100K,YES,NO,CONSERV,18-64,REDUCNATDEBT,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYGORE,PERSONALQUAL,,,0.84
STATE ONLY,14.0,55.0,37.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,DISAPPR,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,WRONGTRACK,BOTH,ONLYGORE,ISSUES,,,0.794
STATE ONLY,14.0,55.0,38.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,FAVORABLE,BUSH,LESS,SUBURBS,OMITS,GOODJUDGMENT,OTHER,ME,ALWYSILL,SAME,DIS/FAV,YES,DISAPPR,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,WRONGTRACK,ONLYBUSH,ONLYGORE,ISSUES,,,0.794
STATE ONLY,14.0,55.0,39.0,THIRD CALL,30-39,HISP,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,CLINTON,NONE,MOSTILL,BETTER,DIS/UNFAV,NO,APPROVE,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,30-50K,NO,YES,CONSERV,18-64,REDUCNATDEBT,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,IND/OTHER,30-39,YES,WHITE,CATHOLIC,WRONGTRACK,BOTH,ONLYGORE,ISSUES,,,0.734
STATE ONLY,14.0,55.0,40.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,CARES,CLINTON,NONE,MOSTILL,SAME,APP/UNFAV,NO,APPROVE,ELSE,SUBURBS,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,FAVOR,STATE,COMPLETE,COOKSUBURBS,60+,60+,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,1.228
STATE ONLY,14.0,55.0,41.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,GOODJUDGMENT,CLINTON,NONE,ALWYSLGL,SAME,APP/FAV,YES,APPROVE,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,15-30K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.581
STATE ONLY,14.0,55.0,42.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,OMITS,DOLE,ME,ALWYSLGL,WORSE,DIS/UNFAV,YES,DISAPPR,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,OMITS,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,WRONGTRACK,ONLYGORE,ONLYGORE,PERSONALQUAL,,,0.794
STATE ONLY,14.0,55.0,43.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,GOODJUDGMENT,PEROT,NONE,ALWYSILL,BETTER,APP/UNFAV,NO,DISAPPR,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,65+,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,COOKSUBURBS,60+,60+,DEMOCRAT,65+,NO,WHITE,CATHOLIC,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.803
STATE ONLY,14.0,55.0,44.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,ALWYSILL,BETTER,APP/UNFAV,YES,DISAPPR,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.549
STATE ONLY,14.0,62.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,OMITS,OMITS,OMITS,LESS,SUBURBS,WORLDAFFAIRS,HONEST,OMITS,NONE,MOSTILL,OMITS,,,DISAPPR,,SUBURBS,,,OMITS,,,,,18-64,OMITS,FAVOR,STATE,NOTCOMPLETE,COOKSUBURBS,30-44,30-39,,30-39,NO,WHITE,,WRONGTRACK,OMITS,OMITS,OMITS,,,1.191
STATE ONLY,14.0,62.0,2.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,COMPLEXISSUE,CLINTON,,ALWYSLGL,BETTER,APP/UNFAV,NO,DISAPPR,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,SOCIALSECURI,FAVOR,STATE,COMPLETE,COOKSUBURBS,60+,60+,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,PERSONALQUAL,,,1.206
STATE ONLY,14.0,62.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,MOSTILL,BETTER,APP/FAV,,DISAPPR,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,LIBERAL,65+,SOCIALSECURI,OPPOSE,STATE,COMPLETE,COOKSUBURBS,60+,60+,DEMOCRAT,65+,NO,WHITE,CATHOLIC,RIGHTDIR,ONLYGORE,NEITHER,OMITS,,,1.2750000000000001
STATE ONLY,14.0,62.0,4.0,FIRST CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,EXPERIENCE,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DISAPPR,ELSE,SUBURBS,NOHS,NONE,NEVER,OVER100K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,0.8240000000000001
STATE ONLY,14.0,62.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,OMITS,OMITS,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,MOSTLGL,BETTER,OMITS,YES,DISAPPR,ELSE,SUBURBS,NOHS,,NEVER,OVER100K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,IND/OTHER,50-64,NO,WHITE,,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.872
STATE ONLY,14.0,62.0,6.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,OMITS,OMITS,OMITS,MORE,SUBURBS,EDUCATION,CARES,OMITS,SOMEONEELSE,MOSTLGL,OMITS,,,APPROVE,,SUBURBS,,,OMITS,,,,,18-64,OMITS,FAVOR,STATE,NOTCOMPLETE,COOKSUBURBS,30-44,40-49,,40-49,NO,WHITE,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.872
STATE ONLY,14.0,62.0,7.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,TAXES,EXPERIENCE,NOVOTE,NONE,MOSTILL,BETTER,APP/UNFAV,YES,DISAPPR,INDEPEND,SUBURBS,COLGRAD,,ONCEAWEEK,30-50K,NO,NO,MODERATE,18-64,REDUCNATDEBT,FAVOR,STATE,COMPLETE,COOKSUBURBS,18-29,18-24,IND/OTHER,18-24,,WHITE,,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,1.323
STATE ONLY,14.0,62.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,NADER,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,HONEST,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,NO,DISAPPR,DEMOCRAT,SUBURBS,POSTGRAD,NONE,NEVER,OVER100K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,NONE,RIGHTDIR,NEITHER,BOTH,ISSUES,,,0.936
STATE ONLY,14.0,62.0,9.0,FIRST CALL,50-59,,,GORE,OMITS,OMITS,OMITS,LESS,SUBURBS,OMITS,COMPLEXISSUE,OMITS,ME,MOSTILL,OMITS,,,DISAPPR,,SUBURBS,,,OMITS,,,,,18-64,OMITS,OPPOSE,STATE,NOTCOMPLETE,COOKSUBURBS,45-59,50-59,,50-64,NO,,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.8240000000000001
STATE ONLY,14.0,62.0,10.0,FIRST CALL,60-64,WHITE,MALE,GORE,OMITS,OMITS,OMITS,MORE,SUBURBS,WORLDAFFAIRS,CARES,OMITS,NONE,ALWYSLGL,OMITS,,,DISAPPR,,SUBURBS,,,OMITS,,,,,18-64,OMITS,OPPOSE,STATE,NOTCOMPLETE,COOKSUBURBS,60+,60+,,50-64,NO,WHITE,,RIGHTDIR,OMITS,OMITS,OMITS,,,1.206
STATE ONLY,14.0,62.0,11.0,FIRST CALL,30-39,WHITE,,GORE,OMITS,OMITS,OMITS,MORE,SUBURBS,ECON/JOBS,OMITS,OMITS,NONE,MOSTLGL,OMITS,,,DISAPPR,,SUBURBS,,,OMITS,,,,,18-64,OMITS,FAVOR,STATE,NOTCOMPLETE,COOKSUBURBS,30-44,30-39,,30-39,NO,WHITE,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.872
STATE ONLY,14.0,62.0,12.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,CLINTON,ME,ALWYSLGL,SAME,APP/FAV,YES,APPROVE,ELSE,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,FAVOR,STATE,COMPLETE,COOKSUBURBS,18-29,25-29,IND/OTHER,25-29,NO,WHITE,CATHOLIC,RIGHTDIR,BOTH,BOTH,PERSONALQUAL,,,1.25
STATE ONLY,14.0,62.0,13.0,SECOND CALL,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,NO,OMITS,DEMOCRAT,SUBURBS,POSTGRAD,NONE,AFEWAYEAR,15-30K,NO,NO,MODERATE,65+,REDUCNATDEBT,OPPOSE,STATE,COMPLETE,COOKSUBURBS,60+,60+,DEMOCRAT,65+,NO,WHITE,NONE,RIGHTDIR,BOTH,BOTH,ISSUES,,,1.2750000000000001
STATE ONLY,14.0,62.0,14.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,EDUCATION,HONEST,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DISAPPR,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,75-100K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,RIGHTDIR,BOTH,ONLYBUSH,PERSONALQUAL,,,0.762
STATE ONLY,14.0,62.0,15.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,WORLDAFFAIRS,HONEST,CLINTON,SOMEONEELSE,ALWYSLGL,OMITS,APP/FAV,YES,APPROVE,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,NO,YES,MODERATE,18-64,REDUCNATDEBT,OMITS,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,REPUBLICAN,40-49,NO,BLACK,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,0.762
STATE ONLY,14.0,62.0,16.0,SECOND CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,COMPLEXISSUE,CLINTON,ME,ALWYSLGL,SAME,APP/FAV,YES,APPROVE,DEMOCRAT,SUBURBS,HSGRAD,NONE,AFEWAYEAR,30-50K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,NONE,RIGHTDIR,ONLYGORE,ONLYGORE,ISSUES,,,0.72
STATE ONLY,14.0,62.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,OMITS,GORE,MORE,SUBURBS,WORLDAFFAIRS,CARES,CLINTON,NONE,ALWYSILL,BETTER,OMITS,YES,DISAPPR,ELSE,SUBURBS,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,30-50K,NO,NO,CONSERV,18-64,REDUCNATDEBT,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,WRONGTRACK,OMITS,BOTH,PERSONALQUAL,,,0.872
STATE ONLY,14.0,62.0,18.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,OMITS,SAME,APP/FAV,YES,APPROVE,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,YES,MODERATE,18-64,SOCIALSECURI,FAVOR,STATE,COMPLETE,COOKSUBURBS,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.72
STATE ONLY,14.0,62.0,19.0,SECOND CALL,60-64,ASIAN,MALE,BUCHANAN,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,HONEST,PEROT,MEANDSOMEONE,ALWYSILL,BETTER,APP/FAV,YES,DISAPPR,INDEPEND,SUBURBS,POSTGRAD,JEWISH,MORETHAN1AWK,50-75K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,FAVOR,STATE,COMPLETE,COOKSUBURBS,60+,60+,IND/OTHER,50-64,NO,ASIAN,JEWISH,WRONGTRACK,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.5730000000000001
STATE ONLY,14.0,62.0,20.0,SECOND CALL,18-24,BLACK,MALE,GORE,OMITS,OMITS,OMITS,MORE,SUBURBS,HEALTHCARE,CARES,OMITS,MEANDSOMEONE,ALWYSILL,OMITS,,,APPROVE,,SUBURBS,,,OMITS,,,,,18-64,OMITS,OPPOSE,STATE,NOTCOMPLETE,COOKSUBURBS,18-29,18-24,,18-24,NO,BLACK,,RIGHTDIR,OMITS,OMITS,OMITS,,,1.093
STATE ONLY,14.0,62.0,21.0,SECOND CALL,30-39,HISP,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,CLINTON,NONE,ALWYSILL,WORSE,DIS/UNFAV,YES,DISAPPR,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,NO,NO,CONSERV,18-64,OTHRPROGRAMS,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,REPUBLICAN,30-39,YES,WHITE,PROT/CHRIST,WRONGTRACK,ONLYGORE,BOTH,ISSUES,,,1.101
STATE ONLY,14.0,62.0,22.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,EXPERIENCE,CLINTON,NONE,MOSTILL,BETTER,APP/FAV,YES,DISAPPR,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,0.762
STATE ONLY,14.0,62.0,23.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,OMITS,MORE,SUBURBS,ECON/JOBS,CARES,CLINTON,SOMEONEELSE,MOSTLGL,BETTER,APP/FAV,YES,OMITS,DEMOCRAT,SUBURBS,HSGRAD,ELSE,AFEWAYEAR,15-30K,,NO,LIBERAL,18-64,OTHRPROGRAMS,OPPOSE,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,OTHER,RIGHTDIR,ONLYGORE,ONLYBUSH,OMITS,,,0.762
STATE ONLY,14.0,62.0,24.0,SECOND CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,CARES,CLINTON,ME,MOSTLGL,BETTER,APP/FAV,YES,DISAPPR,DEMOCRAT,SUBURBS,HSGRAD,ELSE,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,COOKSUBURBS,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,OTHER,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.72
STATE ONLY,14.0,62.0,25.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,NO,DISAPPR,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,MODERATE,65+,SOCIALSECURI,FAVOR,STATE,COMPLETE,COOKSUBURBS,60+,60+,DEMOCRAT,65+,NO,WHITE,CATHOLIC,RIGHTDIR,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,1.2750000000000001
STATE ONLY,14.0,62.0,26.0,SECOND CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,EDUCATION,OMITS,PEROT,NONE,ALWYSLGL,SAME,APP/FAV,YES,DISAPPR,ELSE,SUBURBS,SOMCOL/ASSOC,NONE,NEVER,50-75K,NO,NO,,18-64,REDUCNATDEBT,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,IND/OTHER,30-39,,BLACK,NONE,OMITS,BOTH,BOTH,ISSUES,,,0.72
STATE ONLY,14.0,62.0,27.0,THIRD CALL,30-39,BLACK,,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,ME,MOSTILL,SAME,APP/FAV,YES,DISAPPR,DEMOCRAT,SUBURBS,HSGRAD,ELSE,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,OPPOSE,STATE,COMPLETE,COOKSUBURBS,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,OTHER,WRONGTRACK,ONLYGORE,BOTH,ISSUES,,,0.72
STATE ONLY,14.0,62.0,28.0,THIRD CALL,40-44,BLACK,MALE,GORE,OMITS,OMITS,GORE,LESS,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,MOSTLGL,BETTER,OMITS,YES,OMITS,DEMOCRAT,SUBURBS,POSTGRAD,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,FAVOR,STATE,COMPLETE,COOKSUBURBS,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,PERSONALQUAL,,,0.72
