id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,immwall,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,latino,latinos,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,spanishq,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,txrprs16,unfairre,version,weight,whnclinc,whtevang
405802,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,5,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1, , , ,Support, , , , , , , ,Donald Trump,Economy/Jobs,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,1,Tells it like it is,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Ted Cruz,Version 2,.320669323205948, ,All others
405806,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,25,Ted Cruz,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , , ,Support, , , , , , , ,Ted Cruz,Economy/Jobs,No,No, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,105,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.630059778690338, ,White Born-again/Evangelical Christians
405812,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,No,Call 1,19,Marco Rubio,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,5, , , ,Support, , , , , , , ,Ted Cruz,Terrorism,Yes,Yes, ,Have experience in politics,45+,18-64,Independent/Something else,Latino Independent,Independent,Independent Women,Moderate/Liberal,Liberal,Liberal,81,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Female,Latino women,Not at all,Not much or not at all,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,.37242004275322, ,All others
405813,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,19,Ted Cruz,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , , ,Support, , , , , , , ,Ted Cruz,Economy/Jobs,No,No, ,Have experience in politics,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,104,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,1.95608460903168, ,All others
405814,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,19,Ted Cruz,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , , ,Support, , , , , , , ,Ted Cruz,Economy/Jobs,No,No, ,Have experience in politics,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,104,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,1.95608460903168, ,All others
405818,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Call 1,13,John Kasich,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , , ,Oppose, , , , , , , ,Omit,Economy/Jobs,No,No, ,Omit,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,84,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Not much,Not much or not at all,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,1.04365742206573, ,All others
405825,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,10,Ted Cruz,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, , , ,Omit, , , , , , , ,Ted Cruz,Terrorism,No,No, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,61,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.59400463104248, ,White Born-again/Evangelical Christians
405827,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete, ,Call 1,25, , , , , , , ,4, , ,Offered a chance to apply for legal status, , , , , , , , , , ,No,No, , ,45+,65+, , , , , , , ,105, ,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Dissatisfied, ,Male,White men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,John Kasich, ,Version 1,.390796214342117, , 
405836,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,19, , , ,College graduate,College graduate,More than High school graduate,White college degree,5,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism,No,No,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,81,Can bring needed change,White,White,State questionnaire,White,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Marco Rubio, ,Version 1,.429146230220795,No,All others
405843,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,5,Ted Cruz,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1, , , ,Support, , , , , , , ,Ted Cruz,Omit,No,No, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.501900553703308, ,White Born-again/Evangelical Christians
405846,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,13,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , ,Support, , , , , , , ,Donald Trump,Government spending,No,No, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,84,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Marco Rubio,Version 2,.86188006401062, ,White Born-again/Evangelical Christians
405854,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,25, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Immigration,No,No,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,105,Can bring needed change,White,White,State questionnaire,White,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.54362428188324,No,White Born-again/Evangelical Christians
405857,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,19, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,No,No,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative,81,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.554993867874146,No,White Born-again/Evangelical Christians
405859,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,5,Ted Cruz,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1, , , ,Support, , , , , , , ,Ted Cruz,Government spending,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.556243479251862, ,White Born-again/Evangelical Christians
405862,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 65+,Complete,Yes,Call 1,10, , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,3,Angry,"Dissatisfied, but not angry or Angry",Omit, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Government spending,Yes,Yes,Support, ,18-44,18-64,Independent/Something else,Latino Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,61,Shares my values,Other,Other,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,Latino men, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.500469744205475,No,All others
405863,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,13,John Kasich,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, , , ,Support, , , , , , , ,Marco Rubio,Government spending,No,No, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,84,Can win in November,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,.590052783489227, ,White Born-again/Evangelical Christians
405869,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Yes,Call 1,6,John Kasich,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,Non white no college degree,2, , , ,Oppose, , , , , , , ,Donald Trump,Immigration,No,No, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,96,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Male,Latino men,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Jeb Bush,Marco Rubio,Version 2,.881790459156036, ,All others
405870,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Yes,Call 1,6,John Kasich,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,Non white no college degree,2, , , ,Oppose, , , , , , , ,Donald Trump,Immigration,No,No, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,96,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Male,Latino men,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Jeb Bush,Marco Rubio,Version 2,.881790459156036, ,All others
405874,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No,Call 1,25,Ted Cruz,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4, , , ,Oppose, , , , , , , ,Ted Cruz,Economy/Jobs,Yes,Yes, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,105,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Female,Latino women,Not at all,Not much or not at all,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.630059778690338, ,All others
405876,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,19,John Kasich,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , , ,Support, , , , , , , ,Marco Rubio,Terrorism,No,No, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,81,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,.336035966873169, ,White Born-again/Evangelical Christians
405880,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,5,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1, , , ,Support, , , , , , , ,Donald Trump,Economy/Jobs,No,No, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,1,Tells it like it is,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Ted Cruz,Version 2,.320669323205948, ,White Born-again/Evangelical Christians
405882,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,White 45-64,Not complete, ,Call 1,10, , , , , , , ,3, , ,Offered a chance to apply for legal status, , , , , , , , , , ,Yes,Yes, , ,45+,18-64, , , , , , , ,61, ,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Dissatisfied,Dissatisfied, ,Male,Latino men, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.500469744205475, , 
405894,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,19, , , ,College graduate,College graduate,More than High school graduate,White college degree,5,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs, , ,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,81,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000", ,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.554993867874146,No,White Born-again/Evangelical Christians
405896,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,25, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Economy/Jobs,No,No,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,105,Can win in November,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,John Kasich,Male,White men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,In the last few days,Last few days,In the last month,This week,Donald Trump,Donald Trump, ,Version 1,.717815518379211,No,All others
405900,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,13,John Kasich,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , ,Support, , , , , , , ,Marco Rubio,Terrorism,No,No, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,84,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,.730437040328979, ,White Born-again/Evangelical Christians
405903,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,5,Marco Rubio,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1, , , ,Support, , , , , , , ,Marco Rubio,Government spending,No,No, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,1,Can win in November,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Not at all,Not much or not at all,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,.822611033916473, ,White Born-again/Evangelical Christians
405913,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,10, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,No,No,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,61,Can win in November,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.549890637397766,Yes,White Born-again/Evangelical Christians
405914,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,25,Ted Cruz,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , , ,Support, , , , , , , ,Ted Cruz,Terrorism,No,No, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,105,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.703762948513031, ,White Born-again/Evangelical Christians
405917,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,13,Ted Cruz,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, , , ,Omit, , , , , , , ,Ted Cruz,Government spending,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,84,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Ted Cruz,Version 2,1.04365742206573, ,White Born-again/Evangelical Christians
405929,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,13,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , ,Support, , , , , , , ,Ted Cruz,Terrorism,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,84,Can win in November,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Marco Rubio,Version 2,.62331885099411, ,White Born-again/Evangelical Christians
405930,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,25,John Kasich,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , , ,Support, , , , , , , ,John Kasich,Economy/Jobs,No,No, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,105,Tells it like it is,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,John Kasich,Omit,Version 2,.246749833226204, ,All others
405945,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Call 1,20,Donald Trump,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,6, , , ,Support, , , , , , , ,Marco Rubio,Government spending,No,No, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Tells it like it is,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Not much,Not much or not at all,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Ted Cruz,Version 2,.225408926606178, ,All others
405948,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,25, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Economy/Jobs,No,No,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,105,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Ted Cruz, ,Version 1,.530847489833832,No,All others
405949,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,10,Donald Trump,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3, , , ,Support, , , , , , , ,Donald Trump,Economy/Jobs,No,No, ,Be from outside the political establishment,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,61,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Ted Cruz,Version 2,.648544371128082, ,White Born-again/Evangelical Christians
405959,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,13,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , ,Support, , , , , , , ,Ted Cruz,Terrorism,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,84,Tells it like it is,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Marco Rubio,Version 2,.86188006401062, ,White Born-again/Evangelical Christians
405966,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,25,John Kasich,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4, , , ,Omit, , , , , , , ,John Kasich,Government spending,No,No, ,Have experience in politics,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,105,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Not much,Not much or not at all,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Other,Donald Trump,Version 2,.241543278098106, ,All others
405971,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 1,20,Marco Rubio,Very worried,Worried, , , , ,6, , , ,Oppose, , , , , , , ,Marco Rubio,Government spending,No,No, ,Have experience in politics,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,10,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,Not at all,Not much or not at all,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Marco Rubio,Version 2,.271737307310104, ,All others
405976,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No,Call 1,10, , , ,High school or less,No college degree,High school graduate or less,Non white no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Economy/Jobs,Yes,Yes,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,61,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Female,Latino women, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.466453582048416,No,All others
