id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,describs,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mirprs16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,satcruz,satrubio,sattrump,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,weight,whnclinc,whtevang
442380,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 1,5,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,17,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,1.05392611026764,No,All others
442382,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,10,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,John Kasich,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,69,Can win in November,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,.794637620449066,No,White Born-again/Evangelical Christians
442396,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,No,Call 1,10, ,I strongly favor my candidate,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,2,Ted Cruz,Marco Rubio, , , , , , , , , , ,Economy/Jobs,John Kasich, ,Have experience in politics,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,69,Can win in November,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Not at all,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.696969509124756, ,All others
442398,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,6,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,37,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1,1.28649699687958,No,White Born-again/Evangelical Christians
442399,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,5,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Moderate/Liberal,Moderate,Moderate,17,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,1.26120936870575,No,White Born-again/Evangelical Christians
442400,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Yes,Call 1,2, ,I strongly favor my candidate,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Would not have voted,Marco Rubio, , , , , , , , , , ,Government spending,Marco Rubio, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,114,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,.745414435863495, ,White Born-again/Evangelical Christians
442417,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,No,Call 1,10, ,I dislike the other candidates,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Would not have voted,Would not have voted, , , , , , , , , , ,Terrorism,John Kasich, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,69,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not at all,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.689475834369659, ,All others
442422,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,6,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ben Carson,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,37,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1,1.68343317508698,No,White Born-again/Evangelical Christians
442434,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,10,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,69,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.896386504173279,No,White Born-again/Evangelical Christians
442438,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,2,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Donald Trump,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,114,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.967483699321747,Yes,White Born-again/Evangelical Christians
442453,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete, ,No,Call 1,10,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,Marco Rubio,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,69,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,Latino men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,1.46463251113892,No,All others
442470,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,No,Call 1,2, ,I strongly favor my candidate,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Ted Cruz,Marco Rubio, , , , , , , , , , ,Economy/Jobs,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,114,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,.896419763565063, ,All others
442471,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Yes,Call 1,10, ,I dislike the other candidates,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Ted Cruz,Marco Rubio, , , , , , , , , , ,Terrorism,Marco Rubio, ,Have experience in politics,45+,18-64,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,69,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Marco Rubio,Version 2,1.45482456684113, ,White Born-again/Evangelical Christians
442483,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others,Complete,No,Yes,Call 1,14, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,2,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Marco Rubio, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,103,Shares my values,Other,Other,State questionnaire,Other,Non-white,Midwest, , , , ,Female,All other races,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.529972434043884, ,All others
442487,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,No,Call 1,10, ,I dislike the other candidates,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Government spending,Donald Trump, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,69,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Marco Rubio,Version 2,.971660733222961, ,All others
442497,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Yes,Yes,Call 1,14, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2,Ted Cruz,Marco Rubio, , , , , , , , , , ,Economy/Jobs,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,103,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.613401651382446, ,White Born-again/Evangelical Christians
442499,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Yes,Call 1,10, ,I strongly favor my candidate,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Immigration,Donald Trump, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,69,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Omit,Version 2,.971660733222961, ,White Born-again/Evangelical Christians
442510,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,2,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Omit,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Ted Cruz,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,114,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Omit,Satisfied,Omit,Omit,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Omit,Not Donald Trump, ,Version 1,.423293322324753,Yes,White Born-again/Evangelical Christians
442519,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No,Call 1,14,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,103,Can win in November,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.350385963916779,No,All others
442521,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,No,No,Call 1,10, ,I strongly favor my candidate,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Terrorism,Donald Trump, ,Be from outside the political establishment,45+,18-64,Independent/Something else,Black Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,69,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Midwest, , , , ,Male,Black men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,2.67894792556763, ,All others
442533,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,Yes,Call 1,14, ,I strongly favor my candidate,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Economy/Jobs,John Kasich, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,103,Shares my values,Black,Black,State questionnaire,Black,Non-white,Midwest, , , , ,Male,Black men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,.695338070392609, ,All others
442534,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Yes,Call 1,10, ,I strongly favor my candidate,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Terrorism,Donald Trump, ,Be from outside the political establishment,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,69,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,.971660733222961, ,White Born-again/Evangelical Christians
442540,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Yes,Call 1,2, ,I strongly favor my candidate,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Marco Rubio, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,114,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.745414435863495, ,White Born-again/Evangelical Christians
442552,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,14,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Ted Cruz,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,103,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Dissatisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,.395250916481018,Yes,White Born-again/Evangelical Christians
442554,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete, ,No,Call 1,10, , , , , , , , ,2, , , , ,Offered a chance to apply for legal status, , , , , , , , ,Donald Trump, , ,45+,18-64, , , , , , , ,69, ,White,White,State questionnaire,White,White,Midwest, ,Dissatisfied,Dissatisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, , ,Donald Trump, ,Version 1,.927406489849091, ,All others
442562,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,2,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,Ted Cruz,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,114,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.477493673563004,Yes,White Born-again/Evangelical Christians
442567,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No,Call 1,10,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Donald Trump,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,69,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.927406489849091,No,All others
442568,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete, ,Yes,Call 1,14,Yes, , , ,High school or less,No college degree,High school graduate or less,Non white no college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , ,Economy/Jobs,Marco Rubio,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,103,Shares my values,Black,Black,State questionnaire,Black,Non-white,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,Black men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.978686273097992,No,All others
442569,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete, ,Yes,Call 1,14,Yes, , , ,High school or less,No college degree,High school graduate or less,Non white no college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , ,Economy/Jobs,Marco Rubio,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,103,Shares my values,Black,Black,State questionnaire,Black,Non-white,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,Black men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.978686273097992,No,All others
442580,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,No,Call 1,10, ,I strongly favor my candidate,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Government spending,Donald Trump, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,69,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not at all,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,.971660733222961, ,All others
442589,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,2,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,Ted Cruz,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,114,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,.630146443843842,No,White Born-again/Evangelical Christians
442594,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No,Call 1,10,No, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,69,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.874217092990875,No,All others
442608,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Yes,Call 1,2, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Ted Cruz, ,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,114,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.474819719791412, ,White Born-again/Evangelical Christians
442614,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,No,Call 1,10, ,I strongly favor my candidate,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Donald Trump,Would not have voted, , , , , , , , , , ,Government spending,Donald Trump, ,Be from outside the political establishment,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,69,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not at all,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Donald Trump,Marco Rubio,Version 2,.971660733222961, ,All others
442627,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,No,Call 1,10, ,I strongly favor my candidate,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,2,Donald Trump,Donald Trump, , , , , , , , , , ,Terrorism,Donald Trump, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,69,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Midwest, , , , ,Male,Black men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,2.67894792556763, ,All others
442629,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Not complete,Yes,Yes,Call 1,1, ,I strongly favor my candidate,Very worried,Worried, , , , ,5, , , , , , , , , , , , , ,Donald Trump, ,Be from outside the political establishment,45+,18-64, , , , , , , ,12, ,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , , , ,Donald Trump, ,Version 2,1.53794467449188, ,White Born-again/Evangelical Christians
