State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,If only these cands,Reason for Cong Vote,State economy condition,Carry weapon easier?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Taxes for stadiums,Party ID,Education,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person
24.0,56.0,25.0,Third call,40-44,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Not so good,No,No,No,No,Same,Dole,Oppose,Democrat,Some college,75 to 100K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Democrat,40 to 49,0.839,State taxes,About the same,Favorable
24.0,56.0,26.0,Third call,30-39,Black,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,College grad,75 to 100K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Democrat,30 to 39,0.703,Economy/jobs,About the same,Unfavorable
24.0,56.0,27.0,Third call,40-44,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,Yes,Yes,Yes,No,Same,Dole,Oppose,Republican,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Republican,40 to 49,1.183,State taxes,About the same,Unfavorable
24.0,56.0,28.0,Third call,40-44,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Good,No,No,No,No,Better,Did not vote,Oppose,Democrat,Some college,100K or more,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Democrat,40 to 49,0.839,State taxes,About the same,Unfavorable
24.0,56.0,29.0,Third call,50-59,White,Male,Humphrey,Disapprove,Disapprove,Humphrey,Neither,Good,Yes,No,No,No,Same,Perot,Oppose,Independent,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Independent/Other,50 to 64,1.071,Economy/jobs,About the same,Unfavorable
24.0,56.0,30.0,Third call,40-44,White,Male,Ventura,Approve,Approve,Coleman,Neither,Excellent,Yes,No,No,Yes,Better,Dole,Oppose,Republican,Some college,50 to 75K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Republican,40 to 49,0.839,Economy/jobs,Better,Favorable
24.0,56.0,31.0,Third call,30-39,White,Female,Coleman,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Worse,Clinton,Oppose,Democrat,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Democrat,30 to 39,1.13,Crime/drugs,About the same,Unfavorable
24.0,56.0,32.0,Third call,50-59,White,Male,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,Postgrad,50 to 75K,Liberal,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Democrat,50 to 64,1.071,Education,About the same,Favorable
24.0,56.0,33.0,Third call,50-59,White,Male,Ventura,Disapprove,Disapprove,Coleman,Neither,Good,Yes,No,Yes,Yes,Same,Dole,Oppose,Republican,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Republican,50 to 64,0.839,State taxes,Better,Unfavorable
24.0,56.0,34.0,Third call,30-39,White,Male,Ventura,Approve,Approve,Coleman,Neither,Good,Yes,No,No,No,Same,Clinton,Oppose,Independent,No HS,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Independent/Other,30 to 39,0.839,State taxes,About the same,Favorable
24.0,56.0,35.0,Third call,40-44,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Excellent,No,Yes,Yes,No,Same,Dole,Oppose,Republican,Postgrad,75 to 100K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Republican,40 to 49,1.183,State taxes,About the same,Unfavorable
24.0,56.0,36.0,Third call,30-39,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,Yes,No,No,No,Better,Dole,Oppose,Independent,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Independent/Other,30 to 39,1.183,State taxes,About the same,Unfavorable
24.0,56.0,37.0,Third call,60-64,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,Yes,Yes,Yes,No,Same,Dole,Oppose,Independent,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Dem areas,60 and over,60 and over,Independent/Other,50 to 64,1.104,Abortion,Better,Unfavorable
24.0,56.0,38.0,Third call,40-44,White,Male,Coleman,Approve,Disapprove,Coleman,Neither,Excellent,No,No,No,No,Better,Clinton,Oppose,Independent,College grad,75 to 100K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.183,State taxes,About the same,Favorable
24.0,56.0,39.0,Third call,45-49,White,Female,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Not so good,No,Yes,Yes,Yes,Worse,Clinton,Oppose,Something else,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Dem areas,45 to 59,40 to 49,Independent/Other,40 to 49,1.13,Education,Worse,Unfavorable
24.0,56.0,40.0,Third call,40-44,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Good,Yes,No,No,No,Better,Clinton,Favor,Republican,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Republican,40 to 49,0.839,Gun Control,Better,Unfavorable
24.0,56.0,41.0,Third call,18-24,White,Female,Ventura,Disapprove,,Humphrey,Neither,Good,No,Yes,Yes,Yes,Worse,Did not vote,Oppose,Independent,Some college,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,18 to 29,18 to 24,Independent/Other,18 to 24,0.979,Abortion,About the same,Unfavorable
24.0,56.0,42.0,Third call,45-49,White,Male,Ventura,Approve,Disapprove,Would not vote,Support Clinton,Good,No,No,No,No,Better,Clinton,Favor,Republican,HS grad,75 to 100K,Moderate,18 to 64,2.0,Complete,Dem areas,45 to 59,40 to 49,Republican,40 to 49,0.839,Education,Better,Favorable
24.0,56.0,43.0,Third call,50-59,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Same,,Oppose,Something else,College grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Independent/Other,50 to 64,1.023,Education,About the same,Favorable
24.0,61.0,1.0,First call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,Some college,Under 15K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.8210000000000001,Education,About the same,Favorable
24.0,61.0,2.0,First call,40-44,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Good,Yes,No,No,No,Same,Clinton,Oppose,Independent,HS grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.857,Economy/jobs,Better,Unfavorable
24.0,61.0,3.0,First call,30-39,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,No,No,No,Worse,Perot,Oppose,Republican,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,0.969,Abortion,About the same,Unfavorable
24.0,61.0,4.0,First call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Good,No,No,Yes,Yes,Better,Dole,Oppose,Republican,Postgrad,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,0.969,Abortion,About the same,Unfavorable
24.0,61.0,5.0,First call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Not so good,No,No,No,No,Same,Clinton,Oppose,Democrat,No HS,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.916,,About the same,Favorable
24.0,61.0,6.0,First call,65 and over,White,Male,Coleman,Approve,Disapprove,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Independent,HS grad,30 to 50K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,1.166,Farm policy,About the same,Unfavorable
24.0,61.0,7.0,First call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,Some college,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.916,Farm policy,About the same,Favorable
24.0,61.0,8.0,First call,40-44,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Not so good,No,No,Yes,No,Worse,Dole,Oppose,Republican,HS grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Republican,40 to 49,0.8660000000000001,State taxes,Worse,Unfavorable
24.0,61.0,9.0,First call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Democrat,No HS,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.916,Farm policy,About the same,Unfavorable
24.0,61.0,10.0,First call,65 and over,,Female,Coleman,Approve,Approve,Coleman,Neither,Excellent,No,No,No,No,Same,Clinton,Oppose,Something else,No HS,Under 15K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,1.043,Farm policy,About the same,Favorable
24.0,61.0,11.0,First call,65 and over,White,Female,Ventura,Approve,Approve,Coleman,Support Clinton,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,15 to 30K,Liberal,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,2.002,Education,Worse,Favorable
24.0,61.0,12.0,First call,65 and over,White,Female,Ventura,Approve,Disapprove,Coleman,Support Clinton,Not so good,No,No,No,No,Worse,Clinton,Oppose,Democrat,No HS,Under 15K,Liberal,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,2.002,Education,About the same,Favorable
24.0,61.0,13.0,First call,65 and over,White,Male,Ventura,,Approve,,Support Clinton,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,Postgrad,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,2.237,Farm policy,Better,Favorable
24.0,61.0,14.0,First call,65 and over,White,Female,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Not so good,No,Yes,Yes,Yes,Same,Dole,Oppose,Democrat,No HS,15 to 30K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,1.043,Abortion,About the same,Unfavorable
24.0,61.0,15.0,Second call,45-49,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Better,Clinton,Oppose,Democrat,Some college,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Democrat,40 to 49,0.6809999999999999,Education,About the same,Favorable
24.0,61.0,16.0,Second call,60-64,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,50 to 64,2.002,State taxes,About the same,Favorable
24.0,61.0,17.0,Second call,60-64,Hispanic,Male,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,No HS,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,50 to 64,1.1,Education,Better,Favorable
24.0,61.0,18.0,Second call,65 and over,White,Male,Ventura,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,No,Yes,Yes,Yes,Same,Perot,Oppose,Republican,HS grad,15 to 30K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,2.237,Farm policy,Worse,Unfavorable
24.0,61.0,19.0,Second call,30-39,White,Female,Humphrey,Disapprove,Approve,Humphrey,Oppose Clinton,Good,No,No,Yes,,Same,Dole,Oppose,Republican,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,0.6809999999999999,Education,About the same,Unfavorable
24.0,61.0,20.0,Second call,50-59,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,Yes,No,No,No,Same,Clinton,Oppose,Democrat,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.7609999999999999,Farm policy,Better,Favorable
24.0,61.0,21.0,Second call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Excellent,No,No,No,Yes,Better,Clinton,Oppose,Democrat,Postgrad,30 to 50K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.916,Education,Better,Favorable
24.0,61.0,22.0,Second call,25-29,White,Male,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Good,Yes,Yes,Yes,Yes,Better,Dole,Oppose,Republican,Postgrad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,18 to 29,25 to 29,Republican,25 to 29,1.023,Abortion,Better,Unfavorable
24.0,61.0,23.0,Second call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,,Yes,Same,Clinton,Oppose,Independent,HS grad,Under 15K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,0.8210000000000001,,About the same,Unfavorable
24.0,61.0,24.0,Second call,18-24,White,Female,Coleman,Approve,Disapprove,Coleman,Neither,Good,No,No,No,No,Better,Clinton,Favor,Independent,Some college,Under 15K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Independent/Other,18 to 24,0.915,Economy/jobs,Better,Unfavorable
24.0,61.0,25.0,Second call,18-24,White,Male,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Did not vote,Favor,Democrat,HS grad,50 to 75K,Liberal,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Democrat,18 to 24,1.9620000000000002,Education,Better,Favorable
24.0,61.0,26.0,Second call,30-39,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,HS grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,1.661,Crime/drugs,Better,Favorable
24.0,61.0,27.0,Second call,25-29,White,Male,Ventura,Approve,Approve,Would not vote,Neither,Good,No,No,No,No,Same,Did not vote,Oppose,Democrat,College grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,25 to 29,Democrat,25 to 29,1.9620000000000002,State taxes,Better,Favorable
24.0,61.0,28.0,Second call,65 and over,White,Female,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Not so good,No,No,Yes,Yes,Same,Dole,Oppose,Independent,No HS,Under 15K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,1.043,State taxes,Worse,Unfavorable
24.0,61.0,29.0,Second call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,Some college,,Liberal,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.916,Education,Better,Favorable
24.0,61.0,30.0,Second call,40-44,White,Female,Humphrey,Disapprove,Approve,Humphrey,Neither,Good,No,No,No,Yes,Worse,Dole,Oppose,Republican,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Republican,40 to 49,0.6809999999999999,Education,About the same,Unfavorable
24.0,61.0,31.0,Third call,50-59,White,Female,Ventura,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Worse,Dole,Oppose,Independent,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Independent/Other,50 to 64,1.661,Crime/drugs,Worse,Unfavorable
24.0,61.0,32.0,Third call,30-39,White,Male,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,Yes,No,Worse,Perot,Favor,Democrat,HS grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.7609999999999999,State taxes,Worse,Unfavorable
24.0,61.0,33.0,Third call,45-49,White,Female,Ventura,Approve,Disapprove,Would not vote,Neither,Not so good,No,No,No,No,Worse,Clinton,Oppose,Democrat,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Democrat,40 to 49,1.661,State taxes,About the same,Favorable
24.0,61.0,34.0,Third call,65 and over,White,Female,Humphrey,Approve,,Humphrey,,,No,No,No,No,Worse,Clinton,Oppose,Democrat,HS grad,Under 15K,,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.8210000000000001,Education,,Unfavorable
24.0,61.0,35.0,Third call,30-39,White,Female,Ventura,Approve,Approve,Coleman,Neither,Good,No,No,Yes,No,Worse,Perot,Oppose,Democrat,,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,1.661,Farm policy,Better,Unfavorable
24.0,61.0,36.0,Third call,50-59,White,Male,Humphrey,Approve,Approve,Humphrey,Neither,Not so good,Yes,No,No,No,Same,Clinton,Oppose,Democrat,No HS,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.7609999999999999,Economy/jobs,Worse,Favorable
24.0,61.0,37.0,Third call,30-39,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Worse,Perot,Oppose,Democrat,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.6809999999999999,,Better,Unfavorable
24.0,61.0,38.0,Third call,30-39,White,Male,Ventura,Disapprove,Disapprove,Humphrey,Oppose Clinton,Poor,Yes,Yes,Yes,Yes,Worse,Perot,Oppose,Republican,HS grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,1.857,Gun Control,About the same,Unfavorable
24.0,61.0,39.0,Third call,18-24,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Good,No,No,No,No,Better,Clinton,Favor,Independent,Some college,30 to 50K,Liberal,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Independent/Other,18 to 24,1.9620000000000002,State taxes,About the same,Favorable
24.0,61.0,40.0,Third call,65 and over,White,Male,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Not so good,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,No HS,,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,1.166,State taxes,About the same,Unfavorable
24.0,61.0,41.0,Third call,45-49,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Not so good,Yes,No,No,No,Worse,Perot,Oppose,Independent,No HS,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,1.661,State taxes,About the same,Unfavorable
24.0,61.0,42.0,Third call,45-49,White,Female,Ventura,Approve,Approve,Would not vote,Neither,Not so good,No,No,No,No,Same,Clinton,Oppose,Independent,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,1.661,Gun Control,About the same,Unfavorable
24.0,61.0,43.0,Third call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,Yes,No,No,No,Same,Dole,Oppose,Republican,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,0.969,Education,Worse,Unfavorable
24.0,61.0,44.0,Third call,60-64,White,Female,Humphrey,Approve,,Humphrey,,,No,,,,,,Oppose,,,,,18 to 64,2.0,Not complete,Rep areas,60 and over,60 and over,,50 to 64,0.8210000000000001,State taxes,,
24.0,61.0,45.0,Third call,18-24,Other,Female,Humphrey,Disapprove,Disapprove,Humphrey,Neither,Good,Yes,No,No,Yes,Better,Did not vote,Oppose,Independent,HS grad,Under 15K,Conservative,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Independent/Other,18 to 24,0.72,Abortion,About the same,Unfavorable
24.0,61.0,46.0,Third call,50-59,White,Female,Coleman,Approve,Approve,Coleman,Neither,Not so good,No,No,No,Yes,Same,Dole,Oppose,Democrat,HS grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.8660000000000001,State taxes,About the same,Unfavorable
24.0,61.0,47.0,Third call,45-49,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Democrat,40 to 49,0.7609999999999999,Education,About the same,Favorable
24.0,61.0,48.0,Third call,30-39,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,Postgrad,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,0.8660000000000001,Abortion,About the same,Unfavorable
24.0,61.0,49.0,Third call,40-44,White,Male,Ventura,Approve,Disapprove,Humphrey,Neither,Good,Yes,No,Yes,No,Same,Perot,Oppose,Independent,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.857,,About the same,Unfavorable
24.0,61.0,50.0,Third call,25-29,White,Male,Ventura,Approve,Approve,Coleman,Neither,Good,No,No,No,No,Better,Dole,Favor,Democrat,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,25 to 29,Democrat,25 to 29,1.9620000000000002,State taxes,About the same,Favorable
24.0,61.0,51.0,Third call,40-44,White,Male,Ventura,Approve,Approve,Would not vote,Neither,Good,No,No,No,No,Same,Perot,Oppose,Independent,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.857,Education,About the same,Favorable
24.0,61.0,52.0,Third call,65 and over,White,Male,Ventura,Disapprove,Disapprove,Coleman,Oppose Clinton,Not so good,Yes,Yes,Yes,Yes,Same,Dole,Oppose,Independent,No HS,15 to 30K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,2.237,Economy/jobs,About the same,Unfavorable
24.0,61.0,53.0,Third call,50-59,White,Female,Coleman,Approve,Disapprove,Coleman,Neither,Good,No,No,No,Yes,Better,Clinton,Oppose,Democrat,Some college,75 to 100K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.8660000000000001,State taxes,Worse,Unfavorable
24.0,61.0,54.0,Third call,40-44,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Worse,Perot,Oppose,Democrat,Postgrad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Democrat,40 to 49,0.7609999999999999,Economy/jobs,Worse,Unfavorable
24.0,61.0,55.0,Third call,40-44,White,Male,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Favor,Democrat,Some college,50 to 75K,Liberal,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Democrat,40 to 49,1.857,State taxes,About the same,Favorable
24.0,61.0,56.0,Third call,65 and over,White,Female,Coleman,Approve,Disapprove,Coleman,Neither,Not so good,No,No,Yes,No,Same,Clinton,Oppose,Republican,No HS,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,1.043,Farm policy,About the same,Unfavorable
24.0,61.0,57.0,Third call,40-44,White,Male,Ventura,Disapprove,Disapprove,Coleman,Neither,Not so good,Yes,No,Yes,Yes,Worse,Dole,Oppose,Independent,HS grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.857,State taxes,About the same,Unfavorable
24.0,61.0,58.0,Third call,30-39,White,Female,Ventura,Disapprove,Approve,Humphrey,Neither,Excellent,No,Yes,Yes,Yes,Same,Perot,Oppose,Democrat,College grad,50 to 75K,Liberal,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,1.661,Education,About the same,Unfavorable
24.0,62.0,1.0,First call,50-59,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Democrat,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Democrat,50 to 64,0.6469999999999999,Abortion,About the same,Unfavorable
24.0,62.0,2.0,First call,30-39,White,Male,Ventura,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Republican,Some college,50 to 75K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,0.462,State taxes,About the same,Unfavorable
24.0,62.0,3.0,First call,30-39,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Dole,Oppose,Independent,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Independent/Other,30 to 39,0.618,State taxes,Worse,Unfavorable
24.0,62.0,4.0,First call,50-59,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,Yes,Yes,No,Same,Dole,Oppose,Republican,Some college,Under 15K,Conservative,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Republican,50 to 64,0.6469999999999999,State taxes,Worse,Unfavorable
24.0,62.0,5.0,First call,30-39,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,,Better,Clinton,Oppose,Democrat,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Democrat,30 to 39,0.5599999999999999,Education,About the same,Favorable
24.0,62.0,6.0,First call,40-44,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,Yes,Yes,Yes,Worse,Dole,Oppose,Republican,College grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Republican,40 to 49,0.618,Abortion,Worse,Unfavorable
24.0,62.0,7.0,First call,25-29,White,Male,Ventura,Disapprove,Approve,Coleman,Neither,Excellent,Yes,Yes,Yes,Yes,Same,Dole,Oppose,Republican,College grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,18 to 29,25 to 29,Republican,25 to 29,0.5609999999999999,State taxes,About the same,Unfavorable
24.0,62.0,8.0,First call,25-29,White,Female,Ventura,Disapprove,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Better,Perot,Oppose,Democrat,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,18 to 29,25 to 29,Democrat,25 to 29,0.536,Economy/jobs,About the same,Favorable
24.0,62.0,9.0,First call,30-39,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,No,Yes,Yes,Same,Clinton,Oppose,Republican,Some college,100K or more,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,0.618,,About the same,Unfavorable
