STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,JBUSH,GORBSH3,HISPANIC,REL5,WEIGHT
10.0,99.0,37.0,THIRD CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE, CENTRAL,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.976
10.0,99.0,38.0,THIRD CALL,50-59,FEMALE,KEYES,YES,YES,SOMETHING ELSE,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE, CENTRAL,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.684
10.0,99.0,39.0,THIRD CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE, CENTRAL,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,SOMETHING ELSE,0.976
10.0,99.0,40.0,THIRD CALL,45-49,,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE, CENTRAL,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.976
10.0,99.0,41.0,THIRD CALL,50-59,FEMALE,KEYES,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE, CENTRAL,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.684
10.0,100.0,1.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,OMITS,BUSH,,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,2.0,FIRST CALL,50-59,FEMALE,MCCAIN,NO,NO,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.318
10.0,100.0,3.0,FIRST CALL,30-39,MALE,BUSH,NO,YES,SOMETHING ELSE,CATHOLIC,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.192
10.0,100.0,4.0,FIRST CALL,40-44,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,5.0,FIRST CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,6.0,FIRST CALL,18-24,MALE,BUSH,NO,NO,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,GORE,YES,PROTESTANT/OTHER CHRISTIAN,1.561
10.0,100.0,7.0,FIRST CALL,75+,FEMALE,KEYES,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,1.576
10.0,100.0,8.0,FIRST CALL,60-64,,MCCAIN,YES,YES,DEMOCRAT,CATHOLIC,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,YES,CATHOLIC,1.971
10.0,100.0,9.0,FIRST CALL,60-64,MALE,KEYES,NO,NO,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,OMITS,OMITS,OMITS,FAVORABLE,BUSH,NO,CATHOLIC,1.576
10.0,100.0,10.0,FIRST CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,11.0,FIRST CALL,30-39,MALE,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.192
10.0,100.0,12.0,FIRST CALL,,FEMALE,BUSH,OMITS,NO,REPUBLICAN,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,,,STATE,SOUTH,,REPUBLICAN,,,FAVORABLE,FAVORABLE,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,13.0,FIRST CALL,65-74,MALE,MCCAIN,NO,NO,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,NEITHER,NO,CATHOLIC,2.609
10.0,100.0,14.0,FIRST CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,15.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,16.0,FIRST CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.467
10.0,100.0,17.0,FIRST CALL,65-74,MALE,MCCAIN,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.609
10.0,100.0,18.0,SECOND CALL,60-64,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.466
10.0,100.0,19.0,SECOND CALL,75+,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,,MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,20.0,SECOND CALL,25-29,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.064
10.0,100.0,21.0,SECOND CALL,65-74,MALE,MCCAIN,NO,NO,INDEPENDENT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,CATHOLIC,2.609
10.0,100.0,22.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.466
10.0,100.0,23.0,SECOND CALL,40-44,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,24.0,SECOND CALL,65-74,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.467
10.0,100.0,25.0,SECOND CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,26.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,27.0,SECOND CALL,60-64,MALE,BUSH,YES,YES,INDEPENDENT,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.467
10.0,100.0,28.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,29.0,SECOND CALL,60-64,FEMALE,BUSH,NO,NO,REPUBLICAN,NONE,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,NONE,2.466
10.0,100.0,30.0,SECOND CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,SOMETHING ELSE,2.467
10.0,100.0,31.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.466
10.0,100.0,32.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,33.0,SECOND CALL,40-44,FEMALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.401
10.0,100.0,34.0,SECOND CALL,65-74,MALE,MCCAIN,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,OMITS,NO,CATHOLIC,2.609
10.0,100.0,35.0,SECOND CALL,65-74,FEMALE,MCCAIN,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.608
10.0,100.0,36.0,SECOND CALL,65-74,MALE,MCCAIN,NO,NO,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,CATHOLIC,2.609
10.0,100.0,37.0,SECOND CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.192
10.0,100.0,38.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.466
10.0,100.0,39.0,THIRD CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,40.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,41.0,THIRD CALL,65-74,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,42.0,THIRD CALL,25-29,MALE,BUSH,NO,NO,REPUBLICAN,PROTESTANT,,MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,1.561
10.0,100.0,43.0,THIRD CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,44.0,THIRD CALL,25-29,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.064
10.0,100.0,45.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.192
10.0,100.0,46.0,THIRD CALL,,FEMALE,KEYES,YES,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,,,STATE,SOUTH,,DEMOCRAT,,,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,YES,PROTESTANT/OTHER CHRISTIAN,1.059
10.0,100.0,47.0,THIRD CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.466
10.0,100.0,48.0,THIRD CALL,40-44,,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,1.657
10.0,100.0,49.0,THIRD CALL,25-29,MALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.064
10.0,100.0,50.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,OMITS,FAVORABLE,BUSH,NO,SOMETHING ELSE,2.192
10.0,100.0,51.0,THIRD CALL,25-29,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,2.064
10.0,100.0,52.0,THIRD CALL,25-29,FEMALE,KEYES,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,OMITS,FAVORABLE,BUSH,NO,CATHOLIC,1.32
10.0,100.0,53.0,THIRD CALL,50-59,FEMALE,BUSH,NO,NO,INDEPENDENT,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,NONE,2.192
10.0,100.0,54.0,THIRD CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.192
10.0,100.0,55.0,THIRD CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.467
10.0,100.0,56.0,THIRD CALL,30-39,MALE,KEYES,NO,NO,INDEPENDENT,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,CATHOLIC,1.4020000000000001
10.0,100.0,57.0,THIRD CALL,65-74,FEMALE,MCCAIN,NO,NO,SOMETHING ELSE,JEWISH,"$75,000-$99,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,JEWISH,2.608
10.0,100.0,58.0,THIRD CALL,60-64,FEMALE,MCCAIN,NO,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,OMITS,NO,PROTESTANT/OTHER CHRISTIAN,2.608
10.0,100.0,59.0,THIRD CALL,50-59,FEMALE,MCCAIN,YES,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,2.318
10.0,106.0,1.0,FIRST CALL,75+,MALE,BUSH,OMITS,OMITS,REPUBLICAN,PROTESTANT,,,,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,OMITS,OMITS,OMITS,OMITS,OMITS,NO,PROTESTANT/OTHER CHRISTIAN,1.823
10.0,106.0,2.0,FIRST CALL,75+,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,,MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.823
10.0,106.0,3.0,FIRST CALL,60-64,,MCCAIN,NO,NO,INDEPENDENT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,CATHOLIC,1.927
10.0,106.0,4.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.823
10.0,106.0,5.0,FIRST CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,,MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.62
10.0,106.0,6.0,FIRST CALL,60-64,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.822
10.0,106.0,7.0,FIRST CALL,50-59,,MCCAIN,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.714
10.0,106.0,8.0,SECOND CALL,75+,MALE,MCCAIN,NO,YES,INDEPENDENT,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,FAVORABLE,OMITS,OMITS,BUSH,,CATHOLIC,1.927
10.0,106.0,9.0,SECOND CALL,75+,FEMALE,MCCAIN,YES,YES,INDEPENDENT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,CATHOLIC,1.927
