QTYPE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,CANDSOK,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,CONFEDER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BORNSC,DEBATE,BEATDEM,WEIGHT
STATE,UPSTATE,41.0,34.0,8.0,FIRST CALL,30-39,WHITE,,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,NEITHER,YES,NEITHER,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,BUSH,1.154
STATE,UPSTATE,41.0,34.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,NO,NEITHER,NO,NO,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,10.0,FIRST CALL,18-24,WHITE,MALE,BUSH,THIS YEAR,LIKE SOMEONE ELSE TO ENTER,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,SOMETHING ELSE,COLLEGE GRADUATE,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,FAVORABLE,UNFAVORABLE,NEITHER,YES,NEITHER,YES,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,1.285
STATE,UPSTATE,41.0,34.0,11.0,FIRST CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,YES,YES,NO,LOYAL REPUBLICAN,YES,NO,NO,BUSH,1.43
STATE,UPSTATE,41.0,34.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,NO,NO,NO,LOYAL REPUBLICAN,,YES,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,13.0,FIRST CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,COLLEGE GRADUATE,YES,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,BUSH,NO,NEITHER,YES,YES,YES,NOT TIED TO PARTY LEADERS,NO,NO,YES,BUSH,1.061
STATE,UPSTATE,41.0,34.0,14.0,FIRST CALL,45-49,WHITE,MALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,ABORTION,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,YES,BUSH,YES,YES,NO,LOYAL REPUBLICAN,NO,YES,NO,BUSH,1.154
STATE,UPSTATE,41.0,34.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,NO,YES,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,16.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,YES,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,YES,NO,LOYAL REPUBLICAN,YES,NO,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,17.0,FIRST CALL,65-74,,MALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,YES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,YES,YES,NOT TIED TO PARTY LEADERS,NO,NO,YES,MCCAIN,1.366
STATE,UPSTATE,41.0,34.0,18.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,CAMPAIGN FINANCE REFORM,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,YES,NOT TIED TO PARTY LEADERS,YES,NO,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,19.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,LIKE SOMEONE ELSE TO ENTER,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,NEITHER,NO,NEITHER,NO,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,YES,NO,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,21.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,YES,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,OMITS,NO,OMITS,OMITS,OMITS,1.11
STATE,UPSTATE,41.0,34.0,22.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,YES,YES,NOT TIED TO PARTY LEADERS,NO,NO,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,23.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,NO,YES,NOT TIED TO PARTY LEADERS,YES,NO,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,24.0,SECOND CALL,40-44,WHITE,MALE,BUSH,WITHIN LAST WEEK,LIKE SOMEONE ELSE TO ENTER,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,NEITHER,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,BUSH,1.154
STATE,UPSTATE,41.0,34.0,25.0,SECOND CALL,18-24,WHITE,MALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,YES,NO,NO,LOYAL REPUBLICAN,YES,OMITS,NO,BUSH,1.285
STATE,UPSTATE,41.0,34.0,26.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,NO,LOYAL REPUBLICAN,NO,YES,YES,BUSH,1.11
STATE,UPSTATE,41.0,34.0,27.0,SECOND CALL,50-59,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,TAXES,STANDS UP FOR BELIEFS,OMITS,NO,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,OMITS,NO,OMITS,OMITS,OMITS,1.154
STATE,UPSTATE,41.0,34.0,28.0,SECOND CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,NEITHER,YES,BUSH,NO,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,BUSH,1.154
STATE,UPSTATE,41.0,34.0,29.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,YES,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,30.0,SECOND CALL,60-64,WHITE,MALE,MCCAIN,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,OMITS,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,1.366
STATE,UPSTATE,41.0,34.0,31.0,SECOND CALL,45-49,WHITE,MALE,KEYES,WITHIN LAST WEEK,LIKE SOMEONE ELSE TO ENTER,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,WORSE,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,NEITHER,YES,NEITHER,NO,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,YES,BUSH,1.106
STATE,UPSTATE,41.0,34.0,32.0,SECOND CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,1.154
STATE,UPSTATE,41.0,34.0,33.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,YES,LOYAL REPUBLICAN,NO,YES,YES,MCCAIN,1.366
STATE,UPSTATE,41.0,34.0,34.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,NO,BUSH,YES,NO,NO,LOYAL REPUBLICAN,NO,YES,YES,MCCAIN,1.11
STATE,UPSTATE,41.0,34.0,35.0,SECOND CALL,75+,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,OMITS,YES,LEGAL IN ALL CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,65+,75+,NOT COMPLETE,60+,60+,,65+,75+,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,OMITS,NO,OMITS,OMITS,OMITS,1.313
STATE,UPSTATE,41.0,34.0,36.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,YES,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,37.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,YES,NEITHER,NO,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,38.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,TODAY,SATISFIED WITH CANDIDATES,MORAL VALUES,OMITS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,BUSH,1.11
STATE,UPSTATE,41.0,34.0,39.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,NEITHER,NO,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,40.0,SECOND CALL,40-44,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,OMITS,MCCAIN,NO,BOTH,YES,YES,NO,LOYAL REPUBLICAN,YES,YES,YES,MCCAIN,1.061
STATE,UPSTATE,41.0,34.0,41.0,SECOND CALL,30-39,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,MILITARY RECORD,CANDS PERSONAL QUALITIES,YES,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,NO,NO,NOT TIED TO PARTY LEADERS,NO,NO,YES,MCCAIN,1.061
STATE,UPSTATE,41.0,34.0,42.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BOTH,YES,NEITHER,NO,YES,NO,LOYAL REPUBLICAN,YES,NO,NO,BUSH,1.154
STATE,UPSTATE,41.0,34.0,43.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,NO,YES,NO,LOYAL REPUBLICAN,YES,NO,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,44.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,TAXES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,INDEPENDENT,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,BUSH,1.11
STATE,UPSTATE,41.0,34.0,45.0,SECOND CALL,60-64,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,OMITS,YES,OMITS,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,,NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,YES,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,1.313
STATE,UPSTATE,41.0,34.0,46.0,SECOND CALL,75+,WHITE,MALE,MCCAIN,THIS YEAR,LIKE SOMEONE ELSE TO ENTER,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,OMITS,NO,SAME,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,OMITS,MCCAIN,NO,MCCAIN,YES,NO,YES,LOYAL REPUBLICAN,NO,YES,YES,MCCAIN,1.366
STATE,UPSTATE,41.0,34.0,47.0,THIRD CALL,45-49,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,LIKE SOMEONE ELSE TO ENTER,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,OMITS,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NEITHER,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,YES,MCCAIN,1.102
STATE,UPSTATE,41.0,34.0,48.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,NO,BUSH,NO,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,1.11
