STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,SENOHD,REL5,WEIGHT
36.0,86.0,3.0,FIRST CALL,75+,WHITE,FEMALE,,BEFORE THAT,SOCIAL SECURITY/MEDICARE,OMITS,DISAPPROVE,OMITS,OMITS,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,65+,75+,NEITHER,OMITS,OMITS,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,75+,OMITS,OMITS,BUSH,MCCAIN,YES,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.505
36.0,86.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,CORDAY,CATHOLIC,0.619
36.0,86.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,RADAKOVICH,CATHOLIC,0.5690000000000001
36.0,86.0,6.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,TODAY,EDUCATION,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,WORSE,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,CELESTE,CATHOLIC,0.562
36.0,86.0,7.0,FIRST CALL,30-39,WHITE,MALE,GORE,BEFORE THAT,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.627
36.0,86.0,8.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,BEFORE THAT,EDUCATION,NEW IDEAS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,CORDAY,PROTESTANT/OTHER CHRISTIAN,0.619
36.0,86.0,9.0,SECOND CALL,40-44,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,HEALTH CARE,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NEITHER,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,CELESTE,CATHOLIC,0.562
36.0,86.0,10.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,NEITHER,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,OMITS,OMITS,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.559
36.0,86.0,11.0,THIRD CALL,60-64,WHITE,MALE,GORE,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.586
36.0,86.0,12.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,SOMETHING ELSE,0.6960000000000001
36.0,86.0,13.0,THIRD CALL,60-64,WHITE,FEMALE,BRADLEY,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,OMITS,ILLEGAL IN ALL CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,NEITHER,OMITS,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,CATHOLIC,0.481
36.0,86.0,14.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,TODAY,HEALTH CARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,CORDAY,CATHOLIC,0.732
36.0,86.0,15.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,OMITS,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,YES,,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,CATHOLIC,0.559
36.0,86.0,16.0,THIRD CALL,30-39,WHITE,MALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NONE,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CELESTE,NONE,0.663
36.0,86.0,17.0,THIRD CALL,60-64,WHITE,MALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.496
36.0,86.0,18.0,THIRD CALL,75+,,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,OMITS,OMITS,BETTER,,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,65+,75+,OMITS,ABOUT RIGHT,OMITS,STATE,COMPLETE,NORTHEAST,60+,60+,INDEPENDENT/OTHER,65+,75+,OMITS,FAVORABLE,GORE,OMITS,YES,FAVORABLE,OMITS,OMITS,,CATHOLIC,0.5690000000000001
36.0,86.0,19.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,TODAY,EDUCATION,CAN WIN IN NOVEMBER,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.531
36.0,86.0,20.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,CATHOLIC,0.589
36.0,86.0,21.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,OMITS,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,OMITS,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,OMITS,OMITS,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.5
36.0,86.0,22.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,WITHIN LAST 3 DAYS,OMITS,NEW IDEAS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,OMITS,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,OMITS,OMITS,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,,CATHOLIC,0.608
36.0,86.0,23.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CELESTE,CATHOLIC,0.562
36.0,86.0,24.0,THIRD CALL,25-29,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTHEAST,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,CELESTE,NONE,0.936
36.0,92.0,1.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,TODAY,OMITS,STRONG LEADER,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,TOLEDO AND NORTHWEST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.776
36.0,92.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,,PROTESTANT/OTHER CHRISTIAN,1.665
36.0,92.0,3.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,TODAY,OMITS,STRONG LEADER,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,TOLEDO AND NORTHWEST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.776
36.0,92.0,4.0,SECOND CALL,18-24,WHITE,FEMALE,BRADLEY,TODAY,ABORTION,STRONG LEADER,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,JEWISH,YES,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,18-29,18-24,DEMOCRAT,18-24,18-24,FAVORABLE,FAVORABLE,GORE,GORE,NO,FAVORABLE,FAVORABLE,FAVORABLE,CELESTE,JEWISH,0.515
36.0,92.0,5.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,BEFORE THAT,OMITS,OMITS,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,OMITS,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,OMITS,OMITS,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,PROTESTANT/OTHER CHRISTIAN,0.747
36.0,92.0,6.0,SECOND CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,HEALTH CARE,OMITS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,CELESTE,NONE,0.8290000000000001
36.0,92.0,7.0,SECOND CALL,18-24,WHITE,FEMALE,BRADLEY,TODAY,ABORTION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,NO,,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,UNFAVORABLE,FAVORABLE,FAVORABLE,RADAKOVICH,SOMETHING ELSE,0.497
36.0,92.0,8.0,SECOND CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,OMITS,OMITS,OMITS,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,OMITS,UNFAVORABLE,FAVORABLE,,CATHOLIC,1.237
36.0,92.0,9.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,TOLEDO AND NORTHWEST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,CELESTE,CATHOLIC,1.05
36.0,92.0,10.0,THIRD CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,EDUCATION,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,CELESTE,SOMETHING ELSE,1.194
36.0,92.0,11.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,GORE PLAN BETTER,OMITS,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,TOLEDO AND NORTHWEST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,FAVORABLE,UNFAVORABLE,FAVORABLE,,PROTESTANT/OTHER CHRISTIAN,1.665
36.0,92.0,12.0,THIRD CALL,50-59,BLACK,FEMALE,BRADLEY,BEFORE THAT,ABORTION,STANDS UP FOR BELIEFS,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,,POST GRADUATE STUDY,,YES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BOTH,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,45-59,50-59,,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,OMITS,CELESTE,,0.536
36.0,92.0,13.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NONE,NO,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETE,TOLEDO AND NORTHWEST,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,NONE,0.899
36.0,92.0,14.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,THIS YEAR,OMITS,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,TOLEDO AND NORTHWEST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.776
36.0,92.0,15.0,THIRD CALL,18-24,HISPANIC/LATINO,MALE,BRADLEY,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,PROTESTANT/OTHER CHRISTIAN,0.538
36.0,92.0,16.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,THIS YEAR,RACE RELATIONS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,YES,"$100,000 OR MORE",OMITS,MODERATE,MODERATE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,TOLEDO AND NORTHWEST,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,1.194
