AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,TXPSREFD,BCPERSON,GWMRCSRV,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
50-59,44.0,81.0,29.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,DISAPPROVE,YES,INDEPENDENT,SOMETHING ELSE,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,NO,BUSH,NO,WHITE,SOMETHING ELSE,0.276
50-59,44.0,81.0,30.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.194
60+,44.0,81.0,31.0,SECOND CALL,75+,WHITE,MALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,HOUSTON,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,0.257
50-59,44.0,81.0,32.0,SECOND CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,BLACK,CATHOLIC,0.193
50-59,44.0,81.0,33.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,INDEPENDENT,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,NONE,0.193
50-59,44.0,81.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,DISAPPROVE,YES,INDEPENDENT,CATHOLIC,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,YES,BUSH,NO,WHITE,CATHOLIC,0.149
30-39,44.0,81.0,35.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.194
60+,44.0,81.0,36.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.181
60+,44.0,81.0,37.0,THIRD CALL,65-74,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.181
60+,44.0,81.0,38.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",VERY LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.181
60+,44.0,81.0,39.0,THIRD CALL,65-74,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,CATHOLIC,0.181
60+,44.0,81.0,40.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,BLACK,SOMETHING ELSE,0.181
60+,44.0,81.0,41.0,THIRD CALL,65-74,HISPANIC/LATINO,MALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.181
60+,44.0,81.0,42.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,WHITE,CATHOLIC,0.258
50-59,44.0,81.0,43.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.194
60+,44.0,81.0,44.0,THIRD CALL,60-64,BLACK,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,CATHOLIC,0.181
50-59,44.0,81.0,45.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.193
60+,44.0,81.0,46.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,BLACK,CATHOLIC,0.181
40-49,44.0,81.0,47.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,CATHOLIC,0.194
25-29,44.0,81.0,48.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.181
50-59,44.0,81.0,49.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.194
50-59,44.0,81.0,50.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,BLACK,SOMETHING ELSE,0.193
40-49,44.0,81.0,51.0,THIRD CALL,45-49,BLACK,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.193
40-49,44.0,81.0,52.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.194
30-39,44.0,81.0,53.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,OTHER,APPROVE,NO,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,NO,FAVORABLE,YES,BUSH,NO,HISPANIC/LATINO,CATHOLIC,0.127
60+,44.0,82.0,1.0,SECOND CALL,60-64,WHITE,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,OMITS,UNFAVORABLE,YES,GORE,NO,WHITE,SOMETHING ELSE,0.018000000000000002
25-29,44.0,82.0,2.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,OMITS,OMITS,UNFAVORABLE,OMITS,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.023
40-49,44.0,82.0,3.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,0.036000000000000004
60+,44.0,82.0,4.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$75,000-$99,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,JEWISH,0.033
60+,44.0,82.0,5.0,THIRD CALL,65-74,WHITE,,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$75,000-$99,999",VERY LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,OMITS,GORE,NO,WHITE,JEWISH,0.033
50-59,44.0,82.0,6.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.036000000000000004
40-49,44.0,82.0,7.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,DISAPPROVE,NO,INDEPENDENT,SOMETHING ELSE,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,NO,BUSH,NO,WHITE,SOMETHING ELSE,0.019
40-49,44.0,82.0,8.0,THIRD CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,WHITE,CATHOLIC,0.024
60+,44.0,84.0,1.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,DISAPPROVE,NO,SOMETHING ELSE,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,HOUSTON,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,YES,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.423
60+,44.0,84.0,2.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.548
40-49,44.0,84.0,3.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,APPROVE,YES,SOMETHING ELSE,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,CATHOLIC,0.59
60+,44.0,84.0,4.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,OMITS,OMITS,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.781
30-39,44.0,84.0,5.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.59
50-59,44.0,84.0,6.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,JEWISH,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,OMITS,GORE,NO,WHITE,JEWISH,0.837
60+,44.0,84.0,7.0,SECOND CALL,60-64,BLACK,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.548
18-24,44.0,84.0,8.0,SECOND CALL,18-24,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,SOMETHING ELSE,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,SOMETHING ELSE,0.55
60+,44.0,84.0,9.0,SECOND CALL,65-74,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,OMITS,FAVORABLE,OMITS,GORE,YES,WHITE,CATHOLIC,0.55
50-59,44.0,84.0,10.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,0.59
60+,44.0,84.0,11.0,SECOND CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,,CATHOLIC,0.548
40-49,44.0,84.0,12.0,SECOND CALL,45-49,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,SOMETHING ELSE,0.59
18-24,44.0,84.0,13.0,SECOND CALL,18-24,HISPANIC/LATINO,MALE,GORE,APPROVE,YES,,CATHOLIC,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,18-29,,18-24,18-24,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.548
50-59,44.0,84.0,14.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,YES,FAVORABLE,NO,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.837
50-59,44.0,84.0,15.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.59
50-59,44.0,84.0,16.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,SOMETHING ELSE,,MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,BLACK,SOMETHING ELSE,0.59
60+,44.0,84.0,17.0,SECOND CALL,60-64,BLACK,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,PROTESTANT,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.298
18-24,44.0,84.0,18.0,THIRD CALL,18-24,BLACK,MALE,GORE,APPROVE,YES,DEMOCRAT,,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,OMITS,GORE,NO,BLACK,,0.548
30-39,44.0,84.0,19.0,THIRD CALL,30-39,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.589
40-49,44.0,84.0,20.0,THIRD CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.589
30-39,44.0,84.0,21.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,30-39,30-39,OMITS,FAVORABLE,OMITS,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.59
60+,44.0,84.0,22.0,THIRD CALL,60-64,BLACK,MALE,GORE,APPROVE,NO,INDEPENDENT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.548
50-59,44.0,84.0,23.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.589
40-49,44.0,84.0,24.0,THIRD CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,,DEMOCRAT,CATHOLIC,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,OMITS,FAVORABLE,OMITS,FAVORABLE,OMITS,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.589
60+,44.0,84.0,25.0,THIRD CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,,DEMOCRAT,SOMETHING ELSE,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,HOUSTON,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,OMITS,FAVORABLE,OMITS,GORE,YES,HISPANIC/LATINO,SOMETHING ELSE,0.548
40-49,44.0,84.0,26.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,SOMETHING ELSE,0.59
50-59,44.0,84.0,27.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,NO,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.839
60+,44.0,84.0,28.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,60+,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,NO,FAVORABLE,OMITS,GORE,NO,BLACK,SOMETHING ELSE,0.55
40-49,44.0,84.0,29.0,THIRD CALL,45-49,OTHER,MALE,GORE,APPROVE,NO,INDEPENDENT,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,45-59,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,NO,NEITHER,NO,OTHER,NONE,0.837
30-39,44.0,84.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,HOUSTON,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.839
50-59,44.0,84.0,31.0,THIRD CALL,50-59,BLACK,FEMALE,BRADLEY,OMITS,,DEMOCRAT,,,,,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,BLACK,,0.319
25-29,44.0,84.0,32.0,THIRD CALL,25-29,BLACK,MALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.548
50-59,44.0,84.0,33.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,NO,FAVORABLE,NO,NEITHER,NO,BLACK,,0.59
40-49,44.0,84.0,34.0,THIRD CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,HOUSTON,45-59,,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.589
40-49,44.0,84.0,35.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,HOUSTON,30-44,,40-49,40-49,FAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.59
