QRACE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYREPS,REALWIN,GORE,BRADLEY,BEATDEM,GAY,HISPANIC,REL5,REGCA,NOVCHOIC,WEIGHT,BACKSIDE,GEOCODE
WHITE,5.0,82.0,7.0,FIRST CALL,18-24,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2, KEYES,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.9450000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,8.0,FIRST CALL,65-74,WHITE,FEMALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,YES,INDEPENDENT,,,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.9550000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,12.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.058,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,14.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NO,NOT MUCH,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,YES,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.855,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,15.0,FIRST CALL,75+,WHITE,FEMALE,MCCAIN,,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,,OMITS,,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,OMITS,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,OMITS,FAVORABLE,,,ABOUT RIGHT,,,,NO,SOMEWHAT,1,,,OMITS,OMITS,OMITS,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.9550000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,16.0,FIRST CALL,65-74,WHITE,MALE,MCCAIN,,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,0.925,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,19.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,INDEPENDENT,POST GRADUATE STUDY,OTHER CHRISTIAN,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.855,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,20.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,TAXES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,CATHOLIC,REPUBLICAN,,0.855,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,OMITS,REPUBLICAN,,,"$30,000-$49,000",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,OMITS,,BUSH,BUSH,YES,,,2, KEYES,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.855,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,26.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,YES,REPUBLICAN,,,"UNDER $15,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,GORE,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,YES,NO,,REPUBLICAN,NOT SATISFIED,0.883,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,38.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,OMITS,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"UNDER $15,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,CATHOLIC,REPUBLICAN,,1.058,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,43.0,SECOND CALL,75+,WHITE,FEMALE,MCCAIN,,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,OMITS,,STRENGTHEN SOCIAL SECURITY,,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,SOMEWHAT,1,,,OMITS,FAVORABLE,OMITS,,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.9550000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,44.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NONE,"UNDER $15,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,NO,NOT MUCH,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,YES,NO,NONE,REPUBLICAN,,0.883,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,47.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,OMITS,REPUBLICAN,,,"$75,000-$99,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.883,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,51.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,WORSE,,YES,YES,REPUBLICAN,,,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.772,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,53.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,YES,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.855,COMPLETED,SOUTHERN CALIFORNIA
,5.0,82.0,55.0,THIRD CALL,75+,,MALE,MCCAIN,,MORAL VALUES,OMITS,OMITS,OMITS,OMITS,YES,,OMITS,,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,,OMITS,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,OMITS,OMITS,FAVORABLE,,,ABOUT RIGHT,,,,,GREAT DEAL,1,,,OMITS,OMITS,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,0.925,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,82.0,57.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"UNDER $15,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.058,COMPLETED,SOUTHERN CALIFORNIA
ASIAN,5.0,83.0,1.0,FIRST CALL,25-29,ASIAN,MALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.34900000000000003,COMPLETED,BAY AREA
ASIAN,5.0,83.0,2.0,FIRST CALL,30-39,ASIAN,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,NO,INDEPENDENT,,,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.34900000000000003,COMPLETED,BAY AREA
WHITE,5.0,83.0,8.0,SECOND CALL,60-64,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.385,COMPLETED,BAY AREA
HISPANIC,5.0,83.0,28.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,BUSH,,WORLD AFFAIRS,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,OMITS,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,YES,CATHOLIC,REPUBLICAN,,0.402,COMPLETED,BAY AREA
WHITE,5.0,84.0,1.0,FIRST CALL,40-44,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,INDEPENDENT,,,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,GORE,MCCAIN,,BUSH,MCCAIN,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,YES,NO,,REPUBLICAN,SATISFIED,0.584,COMPLETED,BAY AREA
ASIAN,5.0,84.0,6.0,FIRST CALL,30-39,ASIAN,MALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.648,COMPLETED,BAY AREA
WHITE,5.0,84.0,16.0,SECOND CALL,75+,WHITE,,BUSH,BEFORE THAT,,,OMITS,,,,SAME,,YES,NO,REPUBLICAN,,,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,,,,BUSH,MCCAIN,,OMITS,BUSH,,,,2,BUSH,OMITS,,,,NO,,,REPUBLICAN,OMITS,0.648,COMPLETED,BAY AREA
OTHER,5.0,86.0,1.0,FIRST CALL,30-39,OTHER,FEMALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS PERSONAL QUALITIES,,,,WORSE,,YES,YES,REPUBLICAN,,,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BOTH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.577,COMPLETED,BAY AREA
WHITE,5.0,86.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,MCCAIN,,OMITS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,OMITS,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,,,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,OMITS,FAVORABLE,FAVORABLE,,,OMITS,,,,NO,NOT AT ALL,1,,,FAVORABLE,FAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.522,COMPLETED,BAY AREA
WHITE,5.0,86.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,NEITHER,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.577,COMPLETED,BAY AREA
WHITE,5.0,86.0,22.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,,TAXES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,TAX CUT,,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NO,GREAT DEAL,1,,,FAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.577,COMPLETED,BAY AREA
WHITE,5.0,86.0,23.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,NO,NOT MUCH,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.577,COMPLETED,BAY AREA
WHITE,5.0,86.0,33.0,THIRD CALL,40-44,WHITE,MALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.481,COMPLETED,BAY AREA
WHITE,5.0,86.0,38.0,THIRD CALL,25-29,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,NO,REPUBLICAN,,,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,,,,BUSH,MCCAIN,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.481,COMPLETED,BAY AREA
WHITE,5.0,86.0,39.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.435,COMPLETED,BAY AREA
WHITE,5.0,86.0,47.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,,OMITS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,GREAT DEAL,1,,,FAVORABLE,FAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,0.435,COMPLETED,BAY AREA
WHITE,5.0,86.0,48.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,,TAXES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,FAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.577,COMPLETED,BAY AREA
WHITE,5.0,86.0,49.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,,EDUCATION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,,,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,CATHOLIC,REPUBLICAN,,0.577,COMPLETED,BAY AREA
WHITE,5.0,88.0,1.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.51,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,88.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,TODAY,,,OMITS,,,,OMITS,,,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,,,,BUSH,MCCAIN,,OMITS,BOTH,YES,,,2,OMITS,WINS AMONG PARTY REGISTERED,,,,,,,REPUBLICAN,OMITS,0.636,NOT COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,88.0,4.0,FIRST CALL,50-59,HISPANIC/LATINO,FEMALE,BUSH,BEFORE THAT,,,CANDS PERSONAL QUALITIES,,,,WORSE,,NO,NO,REPUBLICAN,,,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,YES,,REPUBLICAN,SATISFIED,0.579,COMPLETED,CENTRAL VALLEY/NORTH
ASIAN,5.0,88.0,5.0,FIRST CALL,45-49,ASIAN,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,GORE,GORE,,MCCAIN,MCCAIN,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.5640000000000001,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,88.0,6.0,FIRST CALL,75+,WHITE,MALE,BUSH,TODAY,,,OMITS,,,,OMITS,,,OMITS,,,,,OMITS,,,65+,75+,STATE,60+,60+,,65+,75+,,,,BUSH,MCCAIN,,OMITS,MCCAIN,YES,,,2,OMITS,WINS AMONG ALL VOTERS,,,,,,,REPUBLICAN,OMITS,0.614,NOT COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,88.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,BEFORE THAT,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,REPUBLICAN,,,,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BOTH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.636,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,88.0,8.0,FIRST CALL,60-64,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.554,COMPLETED,CENTRAL VALLEY/NORTH
