BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,REGREPRI,CHAFFEE,BEATDEM,REL5,WEIGHT
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,5.0,FIRST CALL,30-39,FEMALE,MCCAIN,THIS YEAR,OMITS,OMITS,OMITS,OMITS,ILLEGAL IN MOST CASES,OMITS,OMITS,OMITS,,POST GRADUATE STUDY,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,YES,NO,UNAFFILIATED/INDEPENDENT,OMITS,OMITS,,1.209
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,6.0,FIRST CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,1.002
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,7.0,FIRST CALL,45-49,MALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,NONE,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,OMITS,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,OMITS,MCCAIN,NO,MCCAIN,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,NONE,1.002
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,8.0,FIRST CALL,60-64,FEMALE,MCCAIN,TODAY,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,NO,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.5290000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,9.0,FIRST CALL,75+,MALE,BUSH,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,OMITS,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,NO,BUSH,YES,YES,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.887
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,10.0,FIRST CALL,30-39,MALE,BUSH,THIS YEAR,ABORTION,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,LEGAL IN ALL CASES,NO,TAX CUT,YES,SOMETHING ELSE,POST GRADUATE STUDY,JEWISH,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,JEWISH,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,11.0,FIRST CALL,60-64,MALE,BUSH,WITHIN LAST 3 DAYS,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,YES,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.887
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,12.0,FIRST CALL,65-74,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,SOMETHING ELSE,COLLEGE GRADUATE,CATHOLIC,,NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,1.5290000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,13.0,FIRST CALL,50-59,,BUSH,WITHIN LAST 3 DAYS,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,,YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,OMITS,NO,BUSH,YES,NO,REPUBLICAN,FAVORABLE,OMITS,PROTESTANT/OTHER CHRISTIAN,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,14.0,FIRST CALL,30-39,MALE,BUSH,BEFORE THAT,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,15.0,FIRST CALL,60-64,MALE,BUSH,WITHIN LAST WEEK,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,BOTH,YES,YES,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.887
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,16.0,FIRST CALL,40-44,MALE,BUSH,THIS YEAR,MORAL VALUES,OMITS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,OMITS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,OMITS,NO,BOTH,YES,NO,REPUBLICAN,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,17.0,SECOND CALL,65-74,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,TOO CONSERVATIVE,BOTH,YES,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.07
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,18.0,SECOND CALL,50-59,MALE,MCCAIN,BEFORE THAT,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.002
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,19.0,SECOND CALL,65-74,FEMALE,BUSH,BEFORE THAT,ABORTION,OMITS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,OMITS,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,BUSH,CATHOLIC,1.07
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,20.0,SECOND CALL,45-49,MALE,BUSH,THIS YEAR,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,YES,BUSH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,21.0,SECOND CALL,30-39,FEMALE,BUSH,TODAY,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,BOTH,NO,BOTH,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.847
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,22.0,SECOND CALL,25-29,FEMALE,MCCAIN,WITHIN LAST WEEK,OMITS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,DEMOCRAT,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.937
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,23.0,SECOND CALL,50-59,MALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.002
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,24.0,THIRD CALL,30-39,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,1.002
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,25.0,THIRD CALL,50-59,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,GORE,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,MCCAIN,NO,YES,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.209
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,26.0,THIRD CALL,40-44,MALE,BUSH,TODAY,WORLD AFFAIRS,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,OMITS,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,BOTH,OMITS,BOTH,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,27.0,THIRD CALL,60-64,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,1.2670000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,28.0,THIRD CALL,18-24,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,OMITS,YES,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,NONE,,NO,,,18-64,18-74,STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,MCCAIN,NO,OMITS,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,NONE,0.777
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,29.0,THIRD CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.847
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,30.0,THIRD CALL,40-44,MALE,BUSH,WITHIN LAST 3 DAYS,WORLD AFFAIRS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,BUSH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,31.0,THIRD CALL,30-39,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,SOMETHING ELSE,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,SOMETHING ELSE,1.002
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,32.0,THIRD CALL,65-74,MALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,DEMOCRAT,65+,65-74,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,OMITS,TOO CONSERVATIVE,NEITHER,YES,NEITHER,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.887
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,33.0,THIRD CALL,60-64,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,SOMETHING ELSE,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,BUSH,GORE,OMITS,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,SOMETHING ELSE,1.5290000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,34.0,THIRD CALL,25-29,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.657
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,35.0,THIRD CALL,50-59,MALE,BUSH,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,OMITS,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,NEITHER,YES,YES,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,36.0,THIRD CALL,30-39,MALE,BUSH,TODAY,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,NO,BUSH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.7020000000000001
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,37.0,THIRD CALL,25-29,FEMALE,KEYES,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,25-29,DEMOCRAT,25-29,25-29,TOO CONSERVATIVE,OMITS,UNFAVORABLE,GORE,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,BUSH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.492
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,38.0,THIRD CALL,50-59,MALE,KEYES,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.525
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,39.0,THIRD CALL,65-74,,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,OMITS,YES,LEGAL IN MOST CASES,YES,OMITS,OMITS,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,"$15,000-$29,000",OMITS,VERY LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,OMITS,OMITS,OMITS,BUSH,OMITS,OMITS,OMITS,YES,OMITS,YES,YES,UNAFFILIATED/INDEPENDENT,OMITS,OMITS,PROTESTANT/OTHER CHRISTIAN,1.07
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,39.0,40.0,THIRD CALL,75+,MALE,BUSH,TODAY,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,"UNDER $15,000",YES,VERY LIBERAL,LIBERAL,65+,75+,STATE,60+,60+,DEMOCRAT,65+,75+,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,OMITS,TOO CONSERVATIVE,BUSH,YES,BUSH,YES,NO,,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.887
