BUSHUNFR,VETVOTER,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,TIME,NONPVOTE,CLINTON,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,MCRRIGHT,VERSION,ONLYDEMS,ONLYREPS,REALWIN,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,SENCA,PROP22,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,WEIGHT
YES,,5.0,53.0,51.0,THIRD CALL,25-29,WHITE,MALE,WITHIN LAST WEEK,BRADLEY,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,INDEPENDENT,,,NO,"$75,000-$99,999",NO,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,,,,GORE,MCCAIN,,MCCAIN,NEITHER,YES,,YELLOW,BRADLEY,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,OTHER,NOT SATISFIED,1.281
NO,,5.0,53.0,52.0,THIRD CALL,30-39,WHITE,FEMALE,WITHIN LAST WEEK,BUSH,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,REPUBLICAN,,,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,YELLOW,WOULD NOT VOTE,BUSH,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,1.421
YES,,5.0,53.0,53.0,THIRD CALL,50-59,ASIAN,MALE,THIS YEAR,MCCAIN,DISAPPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,REPUBLICAN,,,NO,"$75,000-$99,999",YES,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,YELLOW,WOULD NOT VOTE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,ASIAN,,REPUBLICAN,NOT SATISFIED,1.465
YES,,5.0,53.0,54.0,THIRD CALL,50-59,WHITE,FEMALE,WITHIN LAST WEEK,MCCAIN,DISAPPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,NO,REPUBLICAN,,,YES,"$50,000-$74,999",YES,NO,MODERATE,MODERATE,18-64,18-74,NOT LIBERAL ENOUGH,TOO LIBERAL,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,YELLOW,WOULD NOT VOTE,MCCAIN,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,,WHITE,,REPUBLICAN,NOT SATISFIED,1.446
YES,,5.0,53.0,55.0,THIRD CALL,40-44,WHITE,FEMALE,TODAY,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$50,000-$74,999",YES,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,BRADLEY,MCCAIN,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,NOT SATISFIED,1.5110000000000001
NO,,5.0,53.0,56.0,THIRD CALL,18-24,WHITE,FEMALE,THIS YEAR,BUSH,DISAPPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,NO,REPUBLICAN,,,NO,,NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,18-24,REPUBLICAN,18-24,18-24,,,,BUSH,GORE,,BUSH,BUSH,NO,,YELLOW,GORE,BUSH,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,1.362
YES,NO,5.0,53.0,57.0,THIRD CALL,25-29,WHITE,FEMALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,,"$50,000-$74,999",,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,FAVORABLE,,MCCAIN,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.33
YES,NO,5.0,53.0,58.0,THIRD CALL,30-39,WHITE,MALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,,"$100,000 OR MORE",,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT MUCH,WHITE,,,,UNFAVORABLE,FAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.405
YES,NO,5.0,53.0,59.0,THIRD CALL,30-39,WHITE,FEMALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,,"$75,000-$99,999",,YES,VERY LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,OMITS,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT MUCH,WHITE,,,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,OTHER,,1.298
YES,NO,5.0,53.0,60.0,THIRD CALL,18-24,OTHER,FEMALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,,"$30,000-$49,000",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,SOMEWHAT,WHITE,,,,FAVORABLE,OMITS,,MCCAIN,NO,CAMPBELL,NO,NO,OTHER,PROTESTANT/OTHER CHRISTIAN,OTHER,,1.221
YES,NO,5.0,53.0,61.0,THIRD CALL,50-59,WHITE,FEMALE,,MCCAIN,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,TAX CUT,,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,"$100,000 OR MORE",,NO,VERY LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,MCCAIN,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.3880000000000001
NO,NO,5.0,53.0,62.0,THIRD CALL,50-59,WHITE,FEMALE,,BUSH,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,HIGH SCHOOL GRADUATE,NONE,,"$30,000-$49,000",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,NONE,REPUBLICAN,,1.362
NO,NO,5.0,53.0,63.0,THIRD CALL,30-39,WHITE,MALE,,BUSH,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$100,000 OR MORE",,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.3800000000000001
NO,NO,5.0,53.0,64.0,THIRD CALL,25-29,WHITE,MALE,,BUSH,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,,"$15,000-$29,000",,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,GREAT DEAL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,HAYNES,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.672
NO,NO,5.0,53.0,65.0,THIRD CALL,30-39,WHITE,MALE,,MCCAIN,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,TAX CUT,,SOMETHING ELSE,POST GRADUATE STUDY,NONE,,"$100,000 OR MORE",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,NONE,OTHER,,1.315
NO,NO,5.0,53.0,66.0,THIRD CALL,60-64,WHITE,MALE,,BUSH,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,,"$100,000 OR MORE",,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,SOMEWHAT,WHITE,,,,UNFAVORABLE,FAVORABLE,,BUSH,NO,HAYNES,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,2.426
NO,NO,5.0,53.0,67.0,THIRD CALL,45-49,WHITE,FEMALE,,BUSH,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,,"$100,000 OR MORE",,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.362
YES,NO,5.0,53.0,68.0,THIRD CALL,25-29,WHITE,FEMALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,POST GRADUATE STUDY,SOMETHING ELSE,,"$50,000-$74,999",,YES,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,NOT MUCH,WHITE,,,,FAVORABLE,UNFAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,SOMETHING ELSE,REPUBLICAN,,1.33
OMITS,NO,5.0,53.0,69.0,THIRD CALL,25-29,WHITE,FEMALE,,BUSH,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,INDEPENDENT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$30,000-$49,000",,OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,ABOUT RIGHT,OMITS,OMITS,,,OMITS,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,OMITS,,OMITS,NO,,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.293
NO,NO,5.0,53.0,70.0,THIRD CALL,30-39,WHITE,MALE,,BUSH,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,REPUBLICAN,COLLEGE GRADUATE,NONE,,"$100,000 OR MORE",,YES,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,CAMPBELL,NO,NO,WHITE,NONE,REPUBLICAN,,1.2670000000000001
YES,NO,5.0,53.0,71.0,THIRD CALL,25-29,WHITE,FEMALE,,MCCAIN,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,INDEPENDENT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$50,000-$74,999",,YES,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT MUCH,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,OTHER,,1.245
YES,NO,5.0,53.0,72.0,THIRD CALL,40-44,WHITE,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$75,000-$99,999",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT MUCH,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,JEWISH,DEMOCRAT,,1.449
NO,NO,5.0,53.0,73.0,THIRD CALL,30-39,BLACK,MALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,"$30,000-$49,000",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,SOMEWHAT,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,1.335
YES,NO,5.0,53.0,74.0,THIRD CALL,50-59,WHITE,FEMALE,,BUSH,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,"$30,000-$49,000",,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,OMITS,,,,SOMEWHAT,WHITE,,,,UNFAVORABLE,FAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.362
YES,NO,5.0,53.0,75.0,THIRD CALL,65-74,WHITE,FEMALE,,MCCAIN,,OMITS,OMITS,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,,,"$50,000-$74,999",,YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,60+,60+,REPUBLICAN,65+,65-74,OMITS,UNFAVORABLE,UNFAVORABLE,,,OMITS,,,,OMITS,WHITE,,,,UNFAVORABLE,FAVORABLE,,BUSH,NO,CAMPBELL,YES,NO,WHITE,,REPUBLICAN,,1.931
YES,NO,5.0,53.0,76.0,THIRD CALL,50-59,WHITE,FEMALE,,GORE,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,,"$75,000-$99,999",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,SOMEWHAT,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,YES,NO,WHITE,CATHOLIC,DEMOCRAT,,1.478
YES,NO,5.0,53.0,77.0,THIRD CALL,30-39,WHITE,FEMALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,,"$75,000-$99,999",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT MUCH,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,CATHOLIC,REPUBLICAN,,1.298
OMITS,NO,5.0,53.0,79.0,THIRD CALL,40-44,WHITE,FEMALE,,BUSH,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,,OMITS,,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,,"$50,000-$74,999",,OMITS,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,OMITS,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,BUSH,NO,,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.47
YES,NO,5.0,53.0,80.0,THIRD CALL,18-24,WHITE,FEMALE,,BUSH,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,INDEPENDENT,POST GRADUATE STUDY,NONE,,"$75,000-$99,999",,YES,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,ABOUT RIGHT,FAVORABLE,OMITS,,,OMITS,,,,NOT AT ALL,WHITE,,,,OMITS,OMITS,,BUSH,NO,,NO,NO,WHITE,NONE,REPUBLICAN,,1.293
NO,NO,5.0,53.0,81.0,THIRD CALL,18-24,WHITE,FEMALE,,BUSH,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,,OMITS,,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,,,,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,SOUTHERN CALIFORNIA,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,GREAT DEAL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,HAYNES,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.651
OMITS,,5.0,54.0,1.0,FIRST CALL,45-49,WHITE,MALE,THIS YEAR,MCCAIN,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,REPUBLICAN,,,OMITS,"$75,000-$99,999",OMITS,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,MCCAIN,NEITHER,YES,,YELLOW,WOULD NOT VOTE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,0.55
OMITS,,5.0,54.0,2.0,FIRST CALL,45-49,HISPANIC/LATINO,FEMALE,BEFORE THAT,KEYES,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,REPUBLICAN,,,OMITS,,OMITS,OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,OMITS,OMITS,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,40-49,REPUBLICAN,40-49,40-49,,,,OMITS,OMITS,,NEITHER,NEITHER,YES,,YELLOW,WOULD NOT VOTE,KEYES,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,YES,HISPANIC/LATINO,,REPUBLICAN,NOT SATISFIED,0.559
NO,,5.0,54.0,3.0,FIRST CALL,30-39,WHITE,MALE,WITHIN LAST WEEK,MCCAIN,APPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$50,000-$74,999",NO,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,NOT SATISFIED,0.55
YES,,5.0,54.0,4.0,FIRST CALL,40-44,WHITE,MALE,WITHIN LAST 3 DAYS,BRADLEY,DISAPPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,INDEPENDENT,,,NO,"$75,000-$99,999",YES,NO,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,OMITS,MCCAIN,,MCCAIN,MCCAIN,YES,,YELLOW,BRADLEY,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,NOT SATISFIED,0.501
NO,,5.0,54.0,5.0,FIRST CALL,30-39,HISPANIC/LATINO,FEMALE,WITHIN LAST WEEK,BUSH,APPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,REPUBLICAN,,,NO,"$75,000-$99,999",NO,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,YELLOW,GORE,KEYES,AMONG PARTY REGISTERED VOTERS,,,FAVORABLE,,NO,,,YES,WHITE,,REPUBLICAN,SATISFIED,0.518
YES,,5.0,54.0,6.0,FIRST CALL,40-44,WHITE,MALE,THIS YEAR,MCCAIN,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,INDEPENDENT,,,OMITS,"$50,000-$74,999",OMITS,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,OMITS,OMITS,STATE,COMPLETED,SOUTHERN CALIFORNIA,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,OMITS,OMITS,,MCCAIN,MCCAIN,YES,,YELLOW,WOULD NOT VOTE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,NOT SATISFIED,0.55
OMITS,,5.0,54.0,7.0,FIRST CALL,60-64,WHITE,FEMALE,THIS YEAR,BUSH,OMITS,OMITS,,,,OMITS,,,,,,OMITS,,OMITS,OMITS,,,18-64,18-74,OMITS,OMITS,STATE,NOT COMPLETED,SOUTHERN CALIFORNIA,60+,60+,,50-64,50-64,,,,BUSH,MCCAIN,,OMITS,NEITHER,YES,,YELLOW,OMITS,OMITS,AMONG ALL VOTERS,,,OMITS,,,,,,WHITE,,REPUBLICAN,OMITS,0.742
YES,,5.0,54.0,8.0,FIRST CALL,50-59,WHITE,MALE,THIS YEAR,KEYES,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,REPUBLICAN,,,NO,"$50,000-$74,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,SOUTHERN CALIFORNIA,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,NEITHER,YES,,YELLOW,WOULD NOT VOTE,KEYES,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,OTHER,NOT SATISFIED,0.583
