MCRRIGHT,HISPANIC,BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,BEATDEM,REL5,HILLARY,GIULIANI,BUSHPATA,CDAREA,CDPAST,WEIGHT
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,17.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,,YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NEITHER,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.428
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,18.0,SECOND CALL,50-59,MALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,OMITS,BUSH,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,MID REP,0.428
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,19.0,SECOND CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,LEGAL IN ALL CASES,NO,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,BOTH,YES,NO,BUSH,CATHOLIC,FAVORABLE,UNFAVORABLE,SOMEWHAT,SUBURBS,MID REP,0.259
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,20.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NONE,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,NO,BUSH,NONE,UNFAVORABLE,FAVORABLE,SOMEWHAT,SUBURBS,MID REP,0.428
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,21.0,SECOND CALL,75+,,MCCAIN,TODAY,SOCIAL SECURITY/MEDICARE,OMITS,OMITS,YES,OMITS,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"UNDER $15,000",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,OMITS,FAVORABLE,FAVORABLE,GORE,GORE,NOT CONSERVATIVE ENOUGH,BOTH,NEITHER,YES,NO,OMITS,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,MID REP,0.28200000000000003
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,22.0,SECOND CALL,45-49,FEMALE,MCCAIN,THIS YEAR,TAXES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.266
GREAT DEAL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,23.0,SECOND CALL,45-49,FEMALE,MCCAIN,THIS YEAR,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,MCCAIN,NEITHER,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.266
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,24.0,SECOND CALL,45-49,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,SOMETHING ELSE,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.29
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,25.0,SECOND CALL,45-49,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,OMITS,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,TAX CUT,OMITS,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,BOTH,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,GREAT DEAL,SUBURBS,MID REP,0.393
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,26.0,SECOND CALL,65-74,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,OMITS,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",OMITS,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,OMITS,OMITS,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.259
NOT MUCH,NO,COMPLETED,NYC SUBURBS,33.0,102.0,27.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,TAXES,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,SOMETHING ELSE,HIGH SCHOOL GRADUATE,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.29
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,28.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,OMITS,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,OMITS,YES,YES,OMITS,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.29
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,29.0,SECOND CALL,60-64,MALE,BUSH,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NEITHER,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.41600000000000004
SOMEWHAT,,COMPLETED,NYC SUBURBS,33.0,102.0,30.0,SECOND CALL,75+,,MCCAIN,BEFORE THAT,SOCIAL SECURITY/MEDICARE,OMITS,OMITS,YES,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,,,YES,SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,OMITS,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,OMITS,MCCAIN,,,MCCAIN,,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,MID REP,0.259
NOT MUCH,NO,COMPLETED,NYC SUBURBS,33.0,102.0,31.0,SECOND CALL,45-49,MALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.29
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,32.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,GREAT DEAL,SUBURBS,MID REP,0.29
SOMEWHAT,NO,COMPLETED,NYC SUBURBS,33.0,102.0,33.0,SECOND CALL,50-59,FEMALE,BUSH,WITHIN LAST 3 DAYS,TAXES,REPRESENTS CONSERVATIVE VALUES,OMITS,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,OMITS,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,,OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BUSH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,MID REP,0.393
NOT MUCH,NO,COMPLETED,NYC SUBURBS,33.0,102.0,34.0,SECOND CALL,50-59,FEMALE,KEYES,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.108
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,35.0,SECOND CALL,75+,FEMALE,BUSH,THIS YEAR,MORAL VALUES,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,MID REP,0.382
NOT AT ALL,NO,NOT COMPLETED,NYC SUBURBS,33.0,102.0,36.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,40-49,,40-49,40-49,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,OMITS,YES,,OMITS,,UNFAVORABLE,FAVORABLE,GREAT DEAL,SUBURBS,MID REP,0.428
NOT MUCH,NO,COMPLETED,NYC SUBURBS,33.0,102.0,37.0,SECOND CALL,25-29,FEMALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,MID REP,0.418
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,38.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,GREAT DEAL,SUBURBS,MID REP,0.29
NOT AT ALL,NO,COMPLETED,NYC SUBURBS,33.0,102.0,39.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,MID REP,0.29
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,104.0,1.0,FIRST CALL,45-49,FEMALE,KEYES,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,OMITS,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,SOMETHING ELSE,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.259
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,104.0,2.0,FIRST CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC LOW MINORITY,MID LO REP,0.324
NOT MUCH,YES,COMPLETED,NEW YORK CITY,33.0,104.0,3.0,SECOND CALL,65-74,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,NONE,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,YES,MCCAIN,NONE,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.396
GREAT DEAL,,COMPLETED,NEW YORK CITY,33.0,104.0,4.0,SECOND CALL,45-49,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,SOMETHING ELSE,HIGH SCHOOL GRADUATE,,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NEITHER,NO,NO,BUSH,,UNFAVORABLE,FAVORABLE,SOMEWHAT,NYC LOW MINORITY,MID LO REP,0.463
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,104.0,5.0,SECOND CALL,60-64,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,JEWISH,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,JEWISH,UNFAVORABLE,FAVORABLE,OMITS,NYC LOW MINORITY,MID LO REP,0.36
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,104.0,6.0,SECOND CALL,60-64,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,YES,MCCAIN,CATHOLIC,FAVORABLE,UNFAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.36
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,104.0,7.0,SECOND CALL,50-59,FEMALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN ALL CASES,NO,OMITS,OMITS,REPUBLICAN,,CATHOLIC,"$15,000-$29,000",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NEITHER,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,FAVORABLE,SOMEWHAT,NYC LOW MINORITY,MID LO REP,0.317
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,104.0,8.0,SECOND CALL,45-49,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.453
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,104.0,9.0,THIRD CALL,30-39,FEMALE,MCCAIN,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC LOW MINORITY,MID LO REP,0.317
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,104.0,10.0,THIRD CALL,40-44,FEMALE,BUSH,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,OMITS,YES,TAX CUT,YES,SOMETHING ELSE,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC LOW MINORITY,MID LO REP,0.453
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,104.0,11.0,THIRD CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,NEITHER,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC LOW MINORITY,MID LO REP,0.317
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,104.0,12.0,THIRD CALL,75+,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,OMITS,OMITS,OMITS,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,,NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,BOTH,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.353
