GENDER,AGE10,QRACEAI,GOV,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNJ,GETAHEAD25,TRACKANGR,FORTRUMPG25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25NJ,QLT25NJ,TIME25G,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,CHILD12,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNJ2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25GWEEK,TIME25GMONTH,SIZEPLC3,PARENTS
Female,60-64,Hispanic/Latino,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Something else,Not lean either way,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To oppose Donald Trump,Strongly approve,,,3.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,Non-white,No college degree,45-64,3140.0,1.0,10000.0,,1.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",
Female,18-24,Black,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,"$100,000-$199,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,3.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,College graduate,18-29,3141.0,1.0,10000.0,,1.0,Black,18-44,18-24,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Male,75 or over,White,Mikie Sherill,Kamala Harris,,Attended college but received no degree,Democrat,,Somewhat liberal,,Poor,,,,,Somewhat favorable,Somewhat unfavorable,,3.0,You have known all along,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,No college degree,65 or over,3147.0,1.0,10000.0,,2.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,Suburbs,Men with children
Male,30-34,Asian,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,,,,,,,,,,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,Non-white,College graduate,30-44,3148.0,1.0,10000.0,,3.0,Asian,18-44,30-39,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",
Male,25-29,White,Jack Ciattarelli,Someone else,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Strongly approve,,,3.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,18-29,3156.0,1.0,10000.0,,1.0,White,18-44,25-29,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Male,25-29,Black,Jack Ciattarelli,Donald Trump,,Associate's degree (AA or AS),Republican,,Moderate,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,3.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,No college degree,18-29,3163.0,1.0,10000.0,,1.0,Black,18-44,25-29,Black men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Male,45-49,Hispanic/Latino,Jack Ciattarelli,Donald Trump,,Associate's degree (AA or AS),Independent,Lean Republican,Somewhat liberal,,,,,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,No college degree,45-64,3166.0,1.0,10000.0,,3.0,Hispanic/Latino,45 or over,40-49,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Liberal,,,,,,,,,,,Suburbs,
Female,40-44,Asian,Jack Ciattarelli,Donald Trump,,Bachelor's degree (BA or BS),Republican,,Somewhat conservative,,,,,,,,,,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,Non-white,College graduate,30-44,3177.0,1.0,10000.0,,3.0,Asian,18-44,40-49,All other,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",
Male,60-64,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Republican,,Somewhat conservative,,,,,,,,,,,,Rural,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3185.0,1.0,10000.0,,3.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,Small city and Rural,
Male,50-59,White,Jack Ciattarelli,Donald Trump,,Not a high school graduate,Something else,Not lean either way,Somewhat conservative,"$200,000-$299,999",,Holding steady,,To oppose Donald Trump,Strongly approve,,,1.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3186.0,1.0,10000.0,,1.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Suburbs,
Male, 65-74,White,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Lean Republican,Somewhat liberal,"$30,000-$49,999",,Holding steady,,Donald Trump was not a facctor,Strongly approve,,,5.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,65 or over,3189.0,1.0,10000.0,,1.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",
Female,40-44,White,Mikie Sherill,Kamala Harris,,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,,,,Angry,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,30-44,3210.0,1.0,10000.0,,3.0,White,18-44,40-49,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Suburbs,
Female,25-29,Black,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,"$5300,000 or more",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,1.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,Non-white,College graduate,18-29,3215.0,1.0,10000.0,,1.0,Black,18-44,25-29,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",
Male,30-34,Asian,Mikie Sherill,Kamala Harris,,Bachelor's degree (BA or BS),Independent,Lean Republican,Moderate,,Not so good,,,,,Strongly unfavorable,Strongly unfavorable,,4.0,Before October,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,No,Non-white,College graduate,30-44,3217.0,1.0,10000.0,,2.0,Asian,18-44,30-39,All other,Non-white college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Unfavorable,Before that,Before that,Suburbs,Men without children
Female,60-64,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Republican,,Moderate,,,,,,,,,,,,"10,000-50,000",By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3220.0,1.0,10000.0,,3.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,Small city and Rural,
Male,50-59,White,Jack Ciattarelli,Donald Trump,,Associate's degree (AA or AS),Independent,Not lean either way,Moderate,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,Rural,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3222.0,1.0,10000.0,,3.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Small city and Rural,
Male,60-64,Hispanic/Latino,Mikie Sherill,Kamala Harris,,Associate's degree (AA or AS),Democrat,,Moderate,,Good,,,,,Somewhat unfavorable,Somewhat unfavorable,,3.0,Before October,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,Yes,Non-white,No college degree,45-64,3226.0,1.0,10000.0,,2.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Men with children
Female, 65-74,White,Jack Ciattarelli,Donald Trump,,Not a high school graduate,Democrat,,Moderate,,Good,,,,,Somewhat unfavorable,Somewhat unfavorable,,3.0,You have known all along,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,No,White,No college degree,65 or over,3233.0,1.0,10000.0,,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,Suburbs,Women without children
Male,45-49,Black,Mikie Sherill,Kamala Harris,,Attended college but received no degree,Democrat,,Very liberal,,,,Angry,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,No college degree,45-64,3235.0,1.0,10000.0,,3.0,Black,45 or over,40-49,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,,Bachelor's degree (BA or BS),Republican,,Moderate,,Not so good,,,,,Strongly unfavorable,Somewhat favorable,,5.0,Before October,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,College graduate,45-64,3242.0,1.0,10000.0,,2.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Men with children
Male,18-24,White,Mikie Sherill,Kamala Harris,,Not a high school graduate,Democrat,,Somewhat conservative,"$100,000-$199,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,3.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,18-29,3260.0,1.0,10000.0,,1.0,White,18-44,18-24,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Male,50-59,White,Mikie Sherill,Kamala Harris,,High school graduate,Something else,Not lean either way,Somewhat liberal,"$30,000-$49,999",,Getting ahead,,To support Donald Trump,Strongly disapprove,,,4.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3262.0,1.0,10000.0,,1.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,Suburbs,
Male,25-29,Hispanic/Latino,Mikie Sherill,Someone else,,Associate's degree (AA or AS),Independent,Lean Republican,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,,1.0,Earlier in October,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,No,Non-white,No college degree,18-29,3264.0,1.0,10000.0,,2.0,Hispanic/Latino,18-44,25-29,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,In the last month,"City over 50,000",Men without children
Female,50-59,White,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,,,Angry,,,,,,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,45-64,3281.0,1.0,10000.0,,3.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",
Male,40-44,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Independent,Lean Democrat,Somewhat conservative,,Not so good,,,,,Strongly unfavorable,Strongly favorable,,5.0,You have known all along,Rural,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,No college degree,30-44,3299.0,1.0,10000.0,,2.0,White,18-44,40-49,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Small city and Rural,Men with children
Female,50-59,White,Jack Ciattarelli,Donald Trump,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Somewhat conservative,,Not so good,,,,,Somewhat unfavorable,Somewhat favorable,,5.0,In the last few days,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,College graduate,45-64,3301.0,1.0,10000.0,,2.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,In the last week,In the last month,Suburbs,Women with children
Male,75 or over,Black,Mikie Sherill,Kamala Harris,,Attended college but received no degree,Democrat,,Moderate,,,,Angry,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,No college degree,65 or over,3321.0,1.0,10000.0,,3.0,Black,45 or over,65 or over,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Independent,Not lean either way,Somewhat conservative,,Good,,,,,Strongly unfavorable,Somewhat favorable,,3.0,Before October,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,No college degree,45-64,3326.0,1.0,10000.0,,2.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Men with children
Male,50-59,White,Jack Ciattarelli,Donald Trump,,Bachelor's degree (BA or BS),Republican,,Moderate,,Poor,,,,,Strongly unfavorable,Somewhat favorable,,3.0,Before October,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,College graduate,45-64,3330.0,1.0,10000.0,,2.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Men with children
Male,30-34,White,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,"$100,000-$199,999",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,2.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,30-44,3360.0,1.0,10000.0,,1.0,White,18-44,30-39,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",
Female,60-64,Hispanic/Latino,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,,,,,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,College graduate,45-64,3371.0,1.0,10000.0,,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,,Poor,,,,,Strongly unfavorable,Somewhat favorable,,5.0,In the last week,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,Yes,White,College graduate,65 or over,3375.0,1.0,10000.0,,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,In the last week,In the last month,"City over 50,000",Men with children
Female,30-34,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Something else,Not lean either way,Moderate,"Under $30,000",,Getting ahead,,To oppose Donald Trump,Somewhat approve,,,2.0,,,Rural,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,30-44,3377.0,1.0,10000.0,,1.0,White,18-44,30-39,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Small city and Rural,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,"$30,000-$49,999",,Holding steady,,To oppose Donald Trump,Somewhat approve,,,3.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,65 or over,3379.0,1.0,10000.0,,1.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Suburbs,
Female,35-39,White,Mikie Sherill,Kamala Harris,,Not a high school graduate,Democrat,,Somewhat liberal,"$30,000-$49,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,1.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,30-44,3395.0,1.0,10000.0,,1.0,White,18-44,30-39,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,Suburbs,
Female,45-49,White,Mikie Sherill,Kamala Harris,,High school graduate,Democrat,,Moderate,"$50,000-$99,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,4.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3397.0,1.0,10000.0,,1.0,White,45 or over,40-49,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",
Male, 65-74,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Something else,Not lean either way,Moderate,"$100,000-$199,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,5.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,65 or over,3400.0,1.0,10000.0,,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Republican,,Very conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,65 or over,3402.0,1.0,10000.0,,3.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",
Male, 65-74,White,Jack Ciattarelli,Donald Trump,,Attended college but received no degree,Republican,,Very conservative,,,,,,,,,,,,Rural,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,65 or over,3429.0,1.0,10000.0,,3.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,Small city and Rural,
Female,75 or over,Asian,Mikie Sherill,Kamala Harris,,Not a high school graduate,Democrat,,Somewhat conservative,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,,2.0,You have known all along,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,No,Non-white,No college degree,65 or over,3437.0,1.0,10000.0,,2.0,Asian,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,Suburbs,Women without children
Female,50-59,White,Mikie Sherill,Kamala Harris,,Associate's degree (AA or AS),Democrat,,Moderate,,,,Angry,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,No college degree,45-64,3441.0,1.0,10000.0,,3.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Female,50-59,Hispanic/Latino,Mikie Sherill,Kamala Harris,,Attended college but received no degree,Democrat,,Somewhat liberal,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat disapprove,,,4.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,Non-white,No college degree,45-64,3442.0,1.0,10000.0,,1.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Not lean either way,Somewhat conservative,"$100,000-$199,999",,Getting ahead,,To oppose Donald Trump,Somewhat approve,,,1.0,,,Rural,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,45-64,3443.0,1.0,10000.0,,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Small city and Rural,
Male,30-34,White,Mikie Sherill,Kamala Harris,,Bachelor's degree (BA or BS),Democrat,,Very liberal,"$100,000-$199,999",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,4.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,30-44,3448.0,1.0,10000.0,,1.0,White,18-44,30-39,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Female,75 or over,White,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,65 or over,3455.0,1.0,10000.0,,3.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",
Female,25-29,White,Jack Ciattarelli,Donald Trump,,Bachelor's degree (BA or BS),Republican,,Moderate,"$50,000-$99,999",,Falling behind,,To support Donald Trump,Somewhat approve,,,5.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,18-29,3458.0,1.0,10000.0,,1.0,White,18-44,25-29,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Male,25-29,Other,Mikie Sherill,Kamala Harris,,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,,4.0,You have known all along,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,No,Non-white,College graduate,18-29,3487.0,1.0,10000.0,,2.0,Other,18-44,25-29,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,Suburbs,Men without children
Female, 65-74,Black,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,"$50,000-$99,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,5.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,Non-white,College graduate,65 or over,3494.0,1.0,10000.0,,1.0,Black,45 or over,65 or over,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",
Male,50-59,White,Mikie Sherill,Kamala Harris,,Bachelor's degree (BA or BS),Independent,Lean Republican,Somewhat liberal,"$30,000-$49,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,5.0,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,45-64,3506.0,1.0,10000.0,,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",
Female,45-49,White,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,,,,Angry,,,,,,,,"50,000-500,000",By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,45-64,3508.0,1.0,10000.0,,3.0,White,45 or over,40-49,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",
Female,40-44,White,Mikie Sherill,Kamala Harris,,Bachelor's degree (BA or BS),Something else,Lean Republican,Somewhat liberal,,,,,,,,,,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,30-44,3514.0,1.0,10000.0,,3.0,White,18-44,40-49,White women,White college graduates,White women college graduates,Independent/Something else,Republican/Lean Republican,Liberal,,,,,,,,,,,Suburbs,
Female,60-64,White,Jack Ciattarelli,Donald Trump,,Bachelor's degree (BA or BS),Independent,Not lean either way,Very conservative,,Not so good,,,,,Somewhat unfavorable,Somewhat favorable,,1.0,You have known all along,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,Yes,White,College graduate,45-64,3517.0,1.0,10000.0,,2.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Independent/Something else,Independent,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Women with children
Male, 65-74,White,Mikie Sherill,Kamala Harris,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,"$100,000-$199,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,2.0,,,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,,White,College graduate,65 or over,3518.0,1.0,10000.0,,1.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
